case,case_status,C,R,success,failed,raw_date,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
sglang-autotune-off,PASS,16,1,64,0,20260915-135027,461.1398605160352,0.4503318950351906,142.1174043091014,524288,65536,7338.315300265094,6440.101077081636,16664.613451040346,18885.021068388596,27.529255100310834,30.97020070134996,27.529255363710462,16.77703158929944,35500.74326788308,46627.66114671248
sglang-autotune-off,PASS,16,2,64,0,20260915-135652,460.82847695447805,0.45002780952585747,142.21343358187005,524288,65536,7721.406729120645,6750.874518882483,16591.071600024585,18807.654183409177,27.178157216967218,30.944941520398682,27.178157474669828,16.881975391879678,35524.66156207811,46713.976121111766
sglang-autotune-off,PASS,16,3,64,0,20260915-140305,463.25469468348876,0.4523971627768445,141.46861489396542,524288,65536,7581.282296414429,6895.70934465155,16694.569041137576,18912.931074090302,27.133498899052594,30.62113083508466,27.133499133284374,16.688114032149315,35338.85167014523,45462.155515793704
sglang-autotune-off,PASS,32,1,128,0,20260915-141256,554.3780886362588,0.5413848521838465,236.4307007919997,1048576,131072,10134.452782713197,6918.036319548264,31372.277826466587,37133.18862098269,47.8052454974726,53.10305982356107,47.805245728656715,22.73224096279591,59039.218926627655,85113.05934598202
sglang-autotune-off,PASS,32,2,128,0,20260915-142231,551.7235897864372,0.5387925681508176,237.56823602691293,1048576,131072,10415.64270942763,6960.924877319485,31403.086583758693,37186.13224277273,47.8078707487799,53.373735580039835,47.807871030212944,23.03254299331456,59323.094485429465,84398.86968932113
sglang-autotune-off,PASS,32,3,128,0,20260915-143154,553.9702228539132,0.5409865457557747,236.60477511724457,1048576,131072,10896.439569183713,8090.282011777163,31318.914264650073,37069.78423196823,47.10329230406782,53.054195355199724,47.10329253275907,22.641687863506377,59083.1075962451,82940.34425541757
sglang-autotune-on,PASS,16,1,64,0,20260915-144217,480.8524867112525,0.4695825065539575,136.291278117802,524288,65536,8380.706055562769,7784.530238015577,16614.409982436333,18834.394449191168,25.087916511702424,29.446382833237802,25.087916755514573,15.606071474030612,34045.64464703435,41938.410989218384
sglang-autotune-on,PASS,16,2,64,0,20260915-144830,482.0609781410611,0.47076267396588,135.9496059040539,524288,65536,8173.671806063794,7570.923476014286,16602.01899146195,18823.40994533617,25.206704038876506,29.502617232005345,25.20670428924626,15.53448282647878,33960.13003783446,44079.09207923803
sglang-autotune-on,PASS,16,3,64,0,20260915-145444,481.9749754438506,0.47067868695688536,135.97386449296027,524288,65536,8377.220383241365,7807.26386862807,16611.21594822034,18831.77287859842,25.01331553134984,29.46332890305027,25.013315760958584,15.570268803276122,33965.842171812255,41884.19438181444
sglang-autotune-on,PASS,32,1,128,0,20260915-150429,545.4280725363689,0.5326446020862977,240.3103298121132,1048576,131072,10892.504425097286,8093.004616675898,31366.431021690358,37129.40393223427,48.0135351053183,54.033673163011805,48.01353533382106,25.662886793725193,60010.350837837905,84925.39027961901
sglang-autotune-on,PASS,32,2,128,0,20260915-151418,548.05586739574,0.5352108080036524,239.15810010908172,1048576,131072,10626.544192433357,8077.697410713881,31356.22678368817,37103.02294035443,47.993016477702064,53.94859455534068,47.99301672819985,25.549723301082846,59723.400049122574,83644.53519943634
sglang-autotune-on,PASS,32,3,128,0,20260915-152407,548.2550019503797,0.5354052753421676,239.07123424997553,1048576,131072,9349.383249176753,5772.981188958511,31348.401930951502,37106.754096825614,49.21887087714387,54.53469372897947,49.21887111544749,25.169268087483943,59700.288156494935,86899.66953634284
vllm-autotune-off,PASS,16,1,64,0,20260915-124912,533.0740342803676,0.5205801116019215,122.93977156188339,524288,65536,7376.275867332879,7072.911582421511,13841.151405125851,16004.505223683083,22.81100905479243,28.32289853591639,22.811009283917524,15.075398585759103,30711.938130385533,35639.32885711546
vllm-autotune-off,PASS,16,2,64,0,20260915-125455,531.0252720259837,0.5185793672128747,123.41408865526319,524288,65536,6787.855676513573,6202.944288495928,13858.281578589223,16025.30368494801,23.502147577718986,28.515118111347366,23.502147806267985,14.99944080132991,30830.552648520097,38492.47442563064
vllm-autotune-off,PASS,16,3,64,0,20260915-130039,533.6045302101367,0.5210981740333366,122.81754799606279,524288,65536,7046.6119582997635,6112.592722987756,13834.226321242744,15999.058387931436,23.102335553134747,27.567232506215856,23.102336051520062,15.002916636876762,30680.301229156612,38641.872526379295
vllm-autotune-off,PASS,32,1,128,0,20260915-131958,651.1644319446066,0.6359027655709049,201.2886355118826,1048576,131072,8728.984000965283,5947.148448089138,26489.301866199814,31499.22112833709,40.60353704666721,45.7992347392717,40.60353745281927,19.731402606703337,50266.40239970584,70436.97886350565
vllm-autotune-off,PASS,32,2,128,0,20260915-133116,650.2275708833323,0.6349878621907542,201.5786562571302,1048576,131072,8946.343245108437,6916.614615125582,26498.306238465,31520.657771853734,40.46113128776329,45.98049572798699,40.46113151597445,19.61117966566235,50338.08055249028,70077.22414766903
vllm-autotune-off,PASS,32,3,128,0,20260915-133948,652.6506970063439,0.6373541962952577,200.8302459511906,1048576,131072,8731.238798234699,5947.337681427598,26480.70659758522,31493.047712692063,40.490406438063815,45.557050808958294,40.49040666763699,19.55457089934498,50152.92458437398,70907.99294128083
