c,phase,n,duration,output_tps,ttft_ms,tpot_ms,e2el_ms,goodput,slo_pass,events,acceptance,start_wall,end_wall,telemetry_samples,rank0_running_max,rank0_running_mean,rank0_running_middle_mean,rank0_waiting_max,rank0_waiting_mean,rank0_waiting_middle_mean,rank0_kv_max,rank0_kv_mean,rank0_kv_middle_mean,rank0_prefix_cache_hits_total,rank0_prefix_cache_queries_total,rank0_request_prefill_kv_computed_tokens_sum,rank0_request_success_total,rank0_num_preemptions_total,rank0_acceptance,rank0_drafts,rank0_draft_tokens,rank0_accepted_tokens,rank0_drafts_per_request,rank0_accepted_tokens_per_request,rank0_accepted_over_output,rank1_running_max,rank1_running_mean,rank1_running_middle_mean,rank1_waiting_max,rank1_waiting_mean,rank1_waiting_middle_mean,rank1_kv_max,rank1_kv_mean,rank1_kv_middle_mean,rank1_prefix_cache_hits_total,rank1_prefix_cache_queries_total,rank1_request_prefill_kv_computed_tokens_sum,rank1_request_success_total,rank1_num_preemptions_total,rank1_acceptance,rank1_drafts,rank1_draft_tokens,rank1_accepted_tokens,rank1_drafts_per_request,rank1_accepted_tokens_per_request,rank1_accepted_over_output
4,smoke,8,17.912780618062243,457.32709927456193,483.16855874145404,8.162235597499377,8833.135574983316,0.4466084953853144,1.0,12,0.43172891798228724,1790102555.2926013,1790102573.2047668,8,2.0,2.0,2.0,0.0,0.0,0.0,0.0066290550070521315,0.006346967559943559,0.006337564645039917,64512.0,65536.0,1024.0,4.0,0.0,0.42785003825554707,1307.0,6535.0,2796.0,326.75,699.0,0.6826171875,2.0,2.0,2.0,0.0,0.0,0.0,0.006488011283497852,0.00628232251998119,0.006215326751292905,64512.0,65536.0,1024.0,4.0,0.0,0.4356589147286822,1290.0,6450.0,2810.0,322.5,702.5,0.68603515625
32,round-1,128,77.45379666099325,1692.2604914215856,671.0526969254715,17.690643477649385,18768.58097456079,1.6525981361538922,1.0,0,0.43191653414293285,1790102780.3556643,1790102857.8076496,36,17.0,15.305555555555555,15.714285714285714,0.0,0.0,0.0,0.04776680771039021,0.029982238938515385,0.03071171110663353,1048320.0,1064960.0,16640.0,65.0,0.0,0.43193014095201937,21071.0,105355.0,45506.0,324.16923076923075,700.0923076923077,0.6836838942307693,16.0,15.027777777777779,15.904761904761905,0.0,0.0,0.0,0.04795486600846266,0.02947291438123596,0.031146036223610268,1016064.0,1032192.0,16128.0,63.0,0.0,0.43190250110126766,20431.0,102155.0,44121.0,324.3015873015873,700.3333333333334,0.6839192708333334
32,round-2,128,76.40533646999393,1715.482269376235,588.680320443018,17.432500650759163,18422.12848616964,1.6752756536877296,1.0,0,0.43494092581832267,1790102891.6723192,1790102968.0750785,36,17.0,14.944444444444445,15.863636363636363,0.0,0.0,0.0,0.03911612599905967,0.02902888784412057,0.03135872120357311,1032192.0,1048576.0,16384.0,64.0,0.0,0.42993850883935436,20816.0,104080.0,44748.0,325.25,699.1875,0.68280029296875,17.0,14.666666666666666,15.818181818181818,0.0,0.0,0.0,0.04071462153267513,0.028281878493444077,0.030929178954566827,1032192.0,1048576.0,16384.0,64.0,0.0,0.44002342834830144,20488.0,102440.0,45076.0,320.125,704.3125,0.68780517578125
32,round-3,128,79.45148402801715,1649.7111615156211,605.3829609454624,18.19145640460555,19215.24286285694,1.6110460561675988,1.0,0,0.43871313411753243,1790103001.5539815,1790103081.0028234,37,17.0,15.08108108108108,15.545454545454545,0.0,0.0,0.0,0.040432534085566574,0.029354883797761102,0.030909945719536706,1032192.0,1048576.0,16384.0,64.0,0.0,0.43535054992974465,20639.0,103195.0,44926.0,322.484375,701.96875,0.685516357421875,17.0,15.0,16.136363636363637,0.0,0.0,0.0,0.03638928067700986,0.028872031410818438,0.03130743257682608,1032192.0,1048576.0,16384.0,64.0,0.0,0.4421114484379591,20422.0,102110.0,45144.0,319.09375,705.375,0.6888427734375
32,warmup,64,40.40139763697516,1622.1221005488626,883.433352522843,17.66828820029353,18958.092181423126,1.5841036138172486,1.0,0,0.4313721714010592,1790102706.5148005,1790102746.914673,19,17.0,14.578947368421053,16.272727272727273,0.0,0.0,0.0,0.03615420780441936,0.02816915349021355,0.03172201564303116,532224.0,540672.0,8448.0,33.0,0.0,0.4261135290304658,10799.0,53995.0,23008.0,327.24242424242425,697.2121212121212,0.6808712121212122,16.0,13.526315789473685,15.272727272727273,0.0,0.0,0.0,0.036859426422190866,0.026360329596911883,0.030422703765440005,499968.0,507904.0,7936.0,31.0,0.0,0.43706749573763914,9971.0,49855.0,21790.0,321.64516129032256,702.9032258064516,0.6864289314516129
64,round-1,256,98.02212284994312,2674.335062109422,705.0528322520222,22.50996090008199,23732.7428330359,2.6116553340912323,1.0,0,0.43452154875231336,1790103203.7928321,1790103301.8124425,46,34.0,29.630434782608695,30.962962962962962,0.0,0.0,0.0,0.07324870709920073,0.054232333762596834,0.05693813230249526,2032128.0,2064384.0,32256.0,126.0,0.0,0.4329541554302525,40790.0,203950.0,88301.0,323.73015873015873,700.8015873015873,0.6843765500992064,34.0,30.282608695652176,32.074074074074076,0.0,0.0,0.0,0.07672778561354021,0.05527994112957625,0.05869508436504205,2096640.0,2129920.0,33280.0,130.0,0.0,0.4360480385836736,41883.0,209415.0,91315.0,322.17692307692306,702.4230769230769,0.6859600360576923
64,round-2,256,99.28739305201452,2640.2546379948603,750.6038879810149,22.88184760692263,24158.733989862867,2.578373669916856,1.0,0,0.4346403726332345,1790103342.9849722,1790103442.2693796,46,33.0,30.391304347826086,31.5,0.0,0.0,0.0,0.0711330512458862,0.05570409435620694,0.05770031566928604,2048256.0,2080768.0,32512.0,127.0,0.0,0.4358886635223968,40921.0,204605.0,89185.0,322.21259842519686,702.2440944881889,0.685785248523622,33.0,30.717391304347824,31.928571428571427,0.0,0.0,0.0,0.07070992007522336,0.056914208622064144,0.059463362213714815,2080512.0,2113536.0,33024.0,129.0,0.0,0.43341639909905594,41734.0,208670.0,90441.0,323.51937984496124,701.0930232558139,0.6846611555232558
64,round-3,256,103.13847120502032,2541.670406175654,713.7743715052238,23.353804844087012,24604.716727006235,2.482100006030912,1.0,0,0.4332733660939594,1790103483.4769359,1790103586.6123006,48,33.0,29.833333333333332,31.413793103448278,0.0,0.0,0.0,0.06549130230371414,0.05416960507757405,0.05702867889045604,2064384.0,2097152.0,32768.0,128.0,0.0,0.43199826489300175,41496.0,207480.0,89631.0,324.1875,700.2421875,0.6838302612304688,33.0,29.770833333333332,31.82758620689655,0.0,0.0,0.0,0.06455101081335213,0.05376312490205297,0.05782306308058946,2064384.0,2097152.0,32768.0,128.0,0.0,0.4345536816125051,41327.0,206635.0,89794.0,322.8671875,701.515625,0.6850738525390625
64,warmup,128,47.749130969983526,2745.013308878765,1008.0229796049025,21.368835174819573,22868.341363445325,2.680677059451919,1.0,0,0.43747721472839957,1790103115.5478523,1790103163.2945979,23,32.0,28.26086956521739,31.23076923076923,0.0,0.0,0.0,0.07508227550540669,0.051464606201835614,0.05601244077971864,1016064.0,1032192.0,16128.0,63.0,0.0,0.4320097919216646,20425.0,102125.0,44119.0,324.2063492063492,700.3015873015873,0.6838882688492064,33.0,28.608695652173914,32.07692307692308,0.0,0.0,0.0,0.07512929007992475,0.05232926555058154,0.05785685870312104,1048320.0,1064960.0,16640.0,65.0,0.0,0.44286679536679535,20720.0,103600.0,45881.0,318.7692307692308,705.8615384615384,0.6893179086538461
80,round-1,320,109.30186415696517,2997.9360601702865,837.2389830423344,24.97109047698104,26382.664540993937,2.9276719337600454,1.0,0,0.4350017914378952,1790103721.945034,1790103831.243208,51,41.0,37.68627450980392,39.70967741935484,0.0,0.0,0.0,0.08326281147155623,0.0679784654811619,0.07184130306201374,2612736.0,2654208.0,41472.0,162.0,0.0,0.43745391705069125,52080.0,260400.0,113913.0,321.48148148148147,703.1666666666666,0.6866861979166666,42.0,37.21568627450981,39.193548387096776,0.0,0.0,0.0,0.07987776210625297,0.06688422430561318,0.07058555894262707,2548224.0,2588672.0,40448.0,158.0,0.0,0.43250698392232706,51189.0,255945.0,110698.0,323.9810126582278,700.620253164557,0.6841994659810127
