group,concurrency,graph_max_tokens,phase,round,requests,output_tokens,duration_s,output_tok_s,mean_ttft_ms,mean_tpot_ms,timing,known_jit,source
historical_graph192,64,192,scan,1,64,65536,21.439393184962682,3056.8029344210227,4900.84578187998,10.551641760825484,longest_request_duration,first_c64_batch_window_flagged,experiments/dsv4-decode-batch-d96/results/c64/summary.json
historical_graph192,64,192,scan,2,64,65536,11.161005669040605,5871.872297474914,1285.5943859267427,8.863065141691907,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c64/summary.json
historical_graph192,64,192,scan,3,64,65536,15.846311033004895,4135.725965715352,1270.259118262402,9.786993758880467,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c64/summary.json
historical_graph192,64,192,scan,4,64,65536,12.657451831037179,5177.661418335403,1320.3838405624992,9.072560588360016,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c64/summary.json
historical_graph192,80,192,scan,1,80,81920,45.26525228598621,1809.7767241509848,2390.954373522254,38.31479553634558,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c80/summary.json
historical_graph192,80,192,scan,2,80,81920,44.09016181004699,1858.0108721971753,1446.0009108574013,36.48073733287246,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c80/summary.json
historical_graph192,80,192,scan,3,80,81920,37.22315682703629,2200.78056196725,1429.1272691247286,33.22449628893043,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c80/summary.json
historical_graph192,80,192,scan,4,80,81920,38.58373700908851,2123.1743306954304,1421.3897162786452,35.42532895731721,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c80/summary.json
historical_graph192,96,192,scan,1,96,98304,40.21129366499372,2444.686331630742,1425.266115000947,35.816067722497245,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c96/summary.json
historical_graph192,96,192,scan,2,96,98304,37.43950018205214,2625.676077992229,1539.853886414979,33.52841335799894,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c96/summary.json
historical_graph192,96,192,scan,3,96,98304,45.34144193807151,2168.0827913295325,1539.5393557288724,37.907923732860674,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c96/summary.json
historical_graph192,96,192,scan,4,96,98304,43.13937011198141,2278.7537171920208,1552.9475205221388,35.448376491797596,longest_request_duration,see_original_log,experiments/dsv4-decode-batch-d96/results/c96/summary.json
expanded_graph288,80,288,warmup,1,80,81920,16.927332964958623,4839.510167938629,1524.1011484453338,10.112793555020122,actual_batch_wall_clock,12,experiments/dsv4-decode-graph288-c80/results/warmup/summary.json
expanded_graph288,80,288,measurement,1,80,81920,13.254045197041705,6180.754538115239,1303.5625675955089,10.057009189016217,actual_batch_wall_clock,0,experiments/dsv4-decode-graph288-c80/results/measurement/summary.json
