node,run_id,configuration,dataset,protocol,phase,round,accepted,protocol_status,case_status,known_event_lines,started_at,finished_at,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length,study_phase,tp,dp,ep,num_speculative_tokens,spec_stats_source,draft_tokens,accepted_draft_tokens,verification_steps,acceptance_length_includes_bonus,accepted_tokens_by_position,kv_capacity_tokens_min_per_rank,kv_cache_usage_peak_pct,preemptions_delta
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,1,false,PARTIAL,PARTIAL,34,2026-09-20T04:11:23.832272+00:00,2026-09-20T04:15:41.013976+00:00,231.1969903819263,128,0,1042149,131072,566.9277951390084,0.5536404249404379,7543.45910896518,17629.927498847243,45.795808242397406,60.68709387015169,45.79580860623085,28.37949087843299,54392.57094093773,79591.54561217873,,,core,2,2,on,0,,,,,,,78014,23.594452773613195,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,2,false,PARTIAL,PARTIAL,20,2026-09-20T04:15:41.014717+00:00,2026-09-20T04:19:16.946716+00:00,190.5704158358276,128,0,1042149,131072,687.7877629910604,0.6716677372959574,5186.516899426351,12704.432013025493,38.10558757397049,42.79834201394645,38.10558791797463,28.34827215410769,44168.532987598155,55266.12743032165,,,core,2,2,on,0,,,,,,,78014,23.57883558220889,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,3,false,PARTIAL,PARTIAL,14,2026-09-20T04:19:16.948095+00:00,2026-09-20T04:22:51.852507+00:00,189.04272365756333,128,0,1042149,131072,693.3459138973636,0.6770956190403942,5197.391250323562,11219.740281067781,37.78660592592131,42.732988036977794,37.78660643091401,28.590608015656468,43853.089112541056,54143.605145346366,,,core,2,2,on,0,,,,,,,78014,23.57571214392804,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,4,true,PARTIAL,PARTIAL,0,2026-09-20T04:22:51.853914+00:00,2026-09-20T04:26:10.194801+00:00,172.68029531184584,128,0,1042149,131072,759.0443354483219,0.7412542338362519,4656.55982021417,11218.22640988975,34.26903239542102,36.96816667767819,34.2690328480809,28.39259374886751,39713.77996072988,46112.3709292151,,,core,2,2,on,0,,,,,,,78014,23.525737131434287,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,5,false,PARTIAL,PARTIAL,22,2026-09-20T04:26:10.196493+00:00,2026-09-20T04:30:01.089436+00:00,205.35970984771848,128,0,1042149,131072,638.2556738962796,0.6232965565393356,5267.615390046558,11485.866586258635,41.71933535737839,59.64525141516557,41.719335804277236,28.362232539802786,47946.495460644655,72400.60787978582,,,core,2,2,on,0,,,,,,,78014,23.513243378310843,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,6,false,PARTIAL,PARTIAL,14,2026-09-20T04:30:01.090823+00:00,2026-09-20T04:33:48.199526+00:00,200.84364741295576,128,0,1042149,131072,652.6071483381404,0.6373116682989652,6116.3907904337975,12636.77162528038,39.24172848073101,51.604217728454245,39.24172891915191,28.34824095480144,46260.679026221624,56114.90120533854,,,core,2,2,on,0,,,,,,,78014,23.56634182908546,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,7,false,PARTIAL,PARTIAL,4,2026-09-20T04:33:48.201434+00:00,2026-09-20T04:37:07.656094+00:00,173.77290492784232,128,0,1042149,131072,754.2717896925675,0.7365935446216479,4575.932775333058,11211.273462604724,34.62034300773684,37.07318636106249,34.62034347263711,28.37071572430432,39992.54367224785,46035.54840320721,,,core,2,2,on,0,,,,,,,78014,23.591329335332333,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,8,false,PARTIAL,PARTIAL,6,2026-09-20T04:37:07.658103+00:00,2026-09-20T04:40:30.535436+00:00,176.4319786094129,128,0,1042149,131072,742.9038716964608,0.725492062203575,4900.187845007167,11495.291071059182,35.00812465938597,38.07978096367101,35.008125146768435,28.54703706689179,40713.49937155901,47387.12774212472,,,core,2,2,on,0,,,,,,,78014,23.77873563218391,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,9,false,PARTIAL,PARTIAL,4,2026-09-20T04:40:30.537465+00:00,2026-09-20T04:43:50.428981+00:00,174.2295173117891,128,0,1042149,131072,752.2950302700008,0.7346631154980476,4622.90065579873,11219.343318510793,34.67721428623224,37.26985111435691,34.67721474143834,28.50627698935568,40097.690870614315,46082.030831091106,,,core,2,2,on,0,,,,,,,78014,23.513243378310843,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,10,false,PARTIAL,PARTIAL,4,2026-09-20T04:43:50.431007+00:00,2026-09-20T04:47:11.992901+00:00,176.01205868273973,128,0,1042149,131072,744.6762510530951,0.7272229014190382,4714.9411972859525,11217.030020011583,35.07697795163006,37.729414235272486,35.07697842366404,28.614234039559957,40598.6896418035,47216.388854989775,,,core,2,2,on,0,,,,,,,78014,23.594452773613195,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,11,false,PARTIAL,PARTIAL,4,2026-09-20T04:47:11.995040+00:00,2026-09-20T04:50:38.840294+00:00,181.5626305807382,128,0,1042149,131072,721.9106684054913,0.7049908871147376,5404.577675253677,12172.710869973525,35.32322839649329,38.0548431368714,35.32322888387577,28.51598192937672,41540.24032486632,48203.36173600517,,,core,2,2,on,0,,,,,,,78014,23.563218390804597,0.0
48,dpfix-tp2-dp2-epon-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,12,false,PARTIAL,PARTIAL,4,2026-09-20T04:50:38.842565+00:00,2026-09-20T04:54:00.310392+00:00,175.4421593407169,128,0,1042149,131072,747.0952278092522,0.7295851834074728,4808.213990538206,11496.96277254261,34.84593250079843,37.119850154350694,34.845932977754174,28.490469837561246,40455.60293885501,47787.87650130689,,,core,2,2,on,0,,,,,,,78014,23.522613693153428,0.0
48,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,1,false,PARTIAL,PARTIAL,92,2026-09-20T05:01:18.064112+00:00,2026-09-20T05:05:42.367923+00:00,238.99348445609212,128,0,1042149,131072,548.4333612621165,0.5355794543575356,6986.2364326181705,27479.561400646326,49.14598092183021,86.31296117688989,145.64606514904273,631.2993120402098,57262.574915650475,108151.9829200115,65.54411376409792,1.9663234129229377,core,2,2,on,3,metrics_counter_delta_by_dp_rank;success_delta=128;no_reset,132555.0,86882.0,44185.0,false,"{""0"":{""0"":18807.0,""1"":14873.0,""2"":10861.0},""1"":{""0"":17898.0,""1"":14137.0,""2"":10306.0}}",65099,28.26770474621949,0.0
48,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,2,false,PARTIAL,PARTIAL,26,2026-09-20T05:05:42.368627+00:00,2026-09-20T05:08:51.956063+00:00,163.87450006604195,128,0,1042149,131072,799.8315781111617,0.7810855254991813,3453.0827194612357,10810.744880931452,35.16057027453465,57.12661458277676,105.18770342084618,621.1892515420911,39422.34611031017,68355.62506392598,66.48693930393725,1.9946081791181174,core,2,2,on,3,metrics_counter_delta_by_dp_rank;success_delta=128;no_reset,131310.0,87304.0,43770.0,false,"{""0"":{""0"":18694.0,""1"":14805.0,""2"":10783.0},""1"":{""0"":18137.0,""1"":14356.0,""2"":10529.0}}",65099,28.29390627339422,0.0
48,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,3,false,PARTIAL,PARTIAL,12,2026-09-20T05:08:51.957451+00:00,2026-09-20T05:12:01.030004+00:00,163.52126808743924,128,0,1042149,131072,801.5593416870536,0.7827727946162633,4038.678799654008,12398.011376103386,34.537644539532415,59.93629386876131,102.55096146361713,627.4783916305751,39370.68916359567,64770.1899398584,65.76039304610732,1.97281179138322,core,2,2,on,3,metrics_counter_delta_by_dp_rank;success_delta=128;no_reset,132300.0,87001.0,44100.0,false,"{""0"":{""0"":18401.0,""1"":14635.0,""2"":10703.0},""1"":{""0"":18369.0,""1"":14408.0,""2"":10485.0}}",65099,28.29016319808354,0.0
48,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,4,false,PARTIAL,PARTIAL,14,2026-09-20T05:12:01.031366+00:00,2026-09-20T05:15:11.595618+00:00,164.92470693867654,128,0,1042149,131072,794.7384138674632,0.7761117322924446,4220.610252210463,11378.07882796041,34.09886556677634,58.95679591702458,101.8462607304422,626.0691629722714,39103.74972702266,67102.45171575806,66.32908312614524,1.989872493784357,core,2,2,on,3,metrics_counter_delta_by_dp_rank;success_delta=128;no_reset,131523.0,87238.0,43841.0,false,"{""0"":{""0"":18417.0,""1"":14668.0,""2"":10605.0},""1"":{""0"":18392.0,""1"":14558.0,""2"":10598.0}}",65099,28.37625393022908,0.0
48,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,5,false,PARTIAL,PARTIAL,4,2026-09-20T05:15:11.597107+00:00,2026-09-20T05:17:57.009131+00:00,139.71597274392843,128,0,1042149,131072,938.1318214792011,0.9161443569132823,3375.723470446246,11675.526919635013,29.315682134629395,39.41634160044074,86.76625692010381,624.3502151221035,33365.666294172115,47717.33507961034,65.43103837982008,1.9629311513946024,core,2,2,on,3,metrics_counter_delta_by_dp_rank;success_delta=128;no_reset,132726.0,86844.0,44242.0,false,"{""0"":{""0"":17646.0,""1"":13945.0,""2"":10120.0},""1"":{""0"":19034.0,""1"":15126.0,""2"":10973.0}}",65099,28.256475520287474,0.0
