run,variant,protocol,protocol_status,phase,round,accepted,known_event_lines,started_at,finished_at,completed,failed,total_input_tokens,total_output_tokens,duration,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length,spec_decode_num_drafts,spec_decode_draft_tokens,spec_decode_accepted_tokens
off-paired,off,jit_clean,PASS,measurement,measurement-01,True,0,2026-09-19T00:26:59.606803+00:00,2026-09-19T00:30:42.482959+00:00,128,0,1042149,131072,197.34597202204168,664.1736776130424,0.6486071070439867,5434.574036480626,19450.716893142082,42.84520783530023,46.29391713148913,42.84520840236973,27.003381540998816,49265.22165199276,64803.4489704296,,,,,
off-paired,off,jit_clean,PASS,measurement,measurement-02,True,0,2026-09-19T00:30:42.483850+00:00,2026-09-19T00:34:28.156528+00:00,128,0,1042149,131072,197.6031924476847,663.3091215603777,0.6477628140238063,5655.251447213232,19649.168213922527,42.692001059352144,46.04638836816324,42.69200160265921,27.05906690098345,49329.168530930474,64895.949680870384,,,,,
off-paired,off,jit_clean,PASS,measurement,measurement-03,True,0,2026-09-19T00:34:28.158876+00:00,2026-09-19T00:38:13.493428+00:00,128,0,1042149,131072,197.3141067903489,664.280938307504,0.6487118538159219,5660.522438833141,19682.651188317683,42.6167986554342,45.9705252112513,42.616799237034286,26.94011344574391,49257.507463342336,64784.038037573904,,,,,
off-paired,off,quick,PASS,warmup,warmup-01,False,36,2026-09-19T00:10:53.324685+00:00,2026-09-19T00:13:33.122232+00:00,64,0,513628,65536,136.52589175384492,480.0261632288832,0.46877555002820626,15194.743900778121,34721.83422953821,51.73819331643829,69.30554662726433,51.738193896864836,26.985027641057968,68122.9156634945,79910.90167174116,,,,,
off-paired,off,quick,PASS,warmup,warmup-02,False,0,2026-09-19T00:13:33.122801+00:00,2026-09-19T00:15:34.378065+00:00,64,0,513628,65536,98.03500579018146,668.4959058426828,0.6528280330494949,8123.911517293891,21291.832427959886,39.838488053746445,45.70995196631818,39.8384886234333,26.59654668532312,48878.6847962765,66516.42840849234,,,,,
off-paired,off,quick,PASS,measurement,measurement-01,True,16,2026-09-19T00:15:34.378571+00:00,2026-09-19T00:19:32.473514+00:00,128,0,1042149,131072,212.87643885891885,615.7186802944702,0.6012877737250686,5789.960791837075,19646.247044857584,46.293636958395545,57.05988659875746,46.29363752529435,27.00806688517332,53148.351400275715,64990.48574268818,,,,,
off-paired,off,quick,PASS,measurement,measurement-02,True,16,2026-09-19T00:19:32.474370+00:00,2026-09-19T00:23:15.316392+00:00,128,0,1042149,131072,197.56028057262301,663.4531982850573,0.6479035139502513,5449.968244749471,19478.820873890065,42.88248997533716,46.052059615376834,42.8824905505859,26.88256311230361,49318.75548951939,64810.85399510339,,,,,
off-paired,off,quick,PASS,measurement,measurement-03,True,0,2026-09-19T00:23:15.318453+00:00,2026-09-19T00:26:59.600690+00:00,128,0,1042149,131072,197.2919587176293,664.355510746358,0.6487846784632403,5651.168149517616,19629.348300024863,42.61959867822705,45.90592501309035,42.61959925491248,26.863426342606544,49251.01759734389,64699.05710504389,,,,,
k5-clean,k5,jit_clean,PASS,measurement,measurement-01,False,228,2026-09-19T00:41:43.859077+00:00,2026-09-19T00:49:13.962332+00:00,128,0,1042149,131072,424.67092871293426,308.6436841750499,0.30140984782719715,5779.755357587419,23209.830648917698,94.41320115875273,153.73324286119816,324.70563344550084,764.5007420331239,102364.46014299145,160701.64039065124,48.881651520722805,3.44408257603614,38074,190370,93056
k5-clean,k5,jit_clean,PASS,measurement,measurement-02,False,12,2026-09-19T00:49:13.962921+00:00,2026-09-19T00:54:20.527968+00:00,128,0,1042149,131072,280.587264906615,467.13452958609275,0.4561860640489187,4398.483359334932,19742.468911455937,60.85999099461941,74.89100553901939,210.59274709445393,756.503676250577,66658.25414683059,87891.6194960475,49.32033190634744,3.466016595317372,37842,189210,93319
k5-clean,k5,jit_clean,PASS,measurement,measurement-03,False,8,2026-09-19T00:54:20.529372+00:00,2026-09-19T00:59:31.185967+00:00,128,0,1042149,131072,285.1917198058218,459.5925859602196,0.44882088472677695,4500.535507366294,19749.830393679436,61.966339788519235,80.54283919656798,208.80392355126833,759.1569172218442,67892.10111102147,92395.36549262701,47.50797735460628,3.375398867730314,38860,194300,92308
k5-clean,k5,jit_clean,PASS,measurement,measurement-04,True,0,2026-09-19T00:59:31.187347+00:00,2026-09-19T01:04:48.173139+00:00,128,0,1042149,131072,291.12607107963413,450.2241915810652,0.439672062090884,4414.566368919623,19783.5837077815,62.39549340227468,79.06819370039032,211.46898101939567,758.5146662313491,68245.15611944662,88234.92411421612,47.896780204990165,3.394839010249508,38636,193180,92527
k5-clean,k5,jit_clean,PASS,measurement,measurement-05,True,0,2026-09-19T01:04:48.174812+00:00,2026-09-19T01:10:06.867363+00:00,128,0,1042149,131072,293.1302491389215,447.1459372924758,0.4366659543871834,4308.30855062959,19762.161676259704,62.333170107430334,87.09210439007964,209.4632557509372,757.2542891837656,68075.14157053083,95016.58375123514,47.317987014653426,3.365899350732671,38967,194835,92192
k5-clean,k5,jit_clean,PASS,measurement,measurement-06,True,0,2026-09-19T01:10:06.869999+00:00,2026-09-19T01:15:22.247072+00:00,128,0,1042149,131072,290.19060549139977,451.6755453817905,0.4410893997869048,4392.852112432593,19768.2591585908,62.3510243256947,83.54778268960787,211.82265981721866,761.9725233409554,68177.94999761827,92429.85015246086,48.05313408053134,3.402656704026567,38544,192720,92608
