case,phase,round,completed,failed,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
JSPR2,warmup,warmup-01,128,0,0,1504.6985050794262,1.4694321338666272,87.10848024208099,1042149,131072,3850.6272084450757,2894.2766244872473,11292.068884213222,13163.58283121139,15.876987259559828,18.96365788443317,55.975775389225674,172.85955394618213,20092.78517497478,27245.66492843441
JSPR2,measurement,measurement-01,128,0,0,1495.082617878078,1.4600416190215606,87.66873377608135,1042149,131072,4044.4422402069904,3136.8527184822597,11349.81313382741,13181.373425060885,15.940836460937716,19.016134308162666,55.529580859097734,171.1778604309074,20351.917939746272,28794.02793134213
JSPR2,measurement,measurement-02,128,0,0,1527.6595505319565,1.4918550298163638,85.7992214000551,1042149,131072,4060.6963135087426,3015.938002965413,11326.649913558504,13193.981426944958,15.680344117292126,18.387073438597767,55.56524772349792,172.48817184590732,20101.688345498587,27258.75347123947
JSPR2,measurement,measurement-03,128,0,0,1487.0151802067116,1.4521632619206168,88.14435907895677,1042149,131072,3848.823527542663,2746.958927542437,11323.309780820273,13152.414699770745,16.02757292723702,19.080836367704617,55.94185325309824,173.3507112658117,20245.030632106136,27657.650305144478
JSOR2,warmup,warmup-01,128,0,24,1442.5462015594983,1.4087365249604475,90.86156121606473,1042149,131072,1793.2197346399334,878.1286169542,6160.368290456245,6843.28650923213,19.272169130550857,25.735983682795446,66.98985910158699,147.4290569894947,21508.648755193462,29352.3153561633
JSOR2,measurement,measurement-01,128,0,0,1459.0746684486878,1.4248776059069217,89.83227715094108,1042149,131072,1772.9945359942576,879.3143550283276,6128.12567743822,6758.562457589433,19.23712760163099,25.95530952741064,66.32926522959306,143.06180034764085,21452.57607246276,28383.26356037869
JSOR2,measurement,measurement-02,128,0,0,1409.773199864207,1.3767316404923897,92.97382019506767,1042149,131072,1751.2044769682689,879.6438729623333,6117.827354220208,6748.150950958952,19.661271061996576,28.824070831219082,66.2905360244901,147.54348420537994,21864.684773390763,30668.28525542514
JSOR2,measurement,measurement-03,128,0,0,1408.4470529022599,1.3754365750998632,93.06136125593912,1042149,131072,1764.4769702137637,877.5395139819011,6099.052768654656,6802.750314082951,19.573499588854315,26.456708032107535,67.25530442270068,146.00804294459522,21788.16704961173,28395.732113823757
JTO6R2,warmup,warmup-01,256,0,0,1876.1122388750807,1.832140858276446,139.72724795888644,4194304,262144,6439.18516026406,5704.01208702242,14936.974540294614,17227.242907043546,27.38566691373072,31.571221612454167,27.38566742078691,18.376743781846017,34454.72241301059,44193.940256285714
JTO6R2,measurement,measurement-01,256,0,0,1877.274836500963,1.8332762075204716,139.64071477600373,4194304,262144,6365.052286275841,5491.916940023657,14813.960487721488,17152.637343952665,27.413945533320305,31.60211641081647,27.41394611911758,18.352677405346185,34409.51856686252,44122.52618279308
JTO6R2,measurement,measurement-02,256,0,0,1877.5777371009822,1.833572008887678,139.61818721005693,4194304,262144,6364.808820201233,5576.475549547467,14801.774930994725,17160.339540051064,27.410710503315,31.60807524468292,27.41071100630869,18.37580050341785,34405.96566509248,44169.00830520899
JTO6R2,measurement,measurement-03,256,0,0,1876.383317613753,1.8324055836071806,139.70706173905637,4194304,262144,6325.987615543909,5419.457032519858,14833.534626261098,17172.21085903584,27.481133700355993,31.632540872701078,27.481134227600208,18.37278621387668,34439.18739100809,44216.44660830498
