sample_id,node,configuration,workload,purpose,scope,gpu_group,deployment_count,tp,pp,dp,ep,global_capacity,prefill_tokens_per_rank,prefill_tokens_service,global_concurrency,concurrency,repetition,successful_requests,failed_requests,duration_s,output_tokens_per_s,requests_per_s,actual_input_tokens,actual_output_tokens,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,output_tokens_per_s_common_window,start_skew_s,overlap_s,runner_gate,resource_status
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r01-node,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,32,32,1,128,0,119.40495319804177,1097.70990641073,1.0719823304792284,1048576,131072,4659.788459204719,10747.184614581056,24.433577450486666,27.69444158197429,24.433577778175028,18.43934750650078,29655.33819105258,36540.98746581003,1097.70990641073,0.0005722641944885254,118.04859142703936,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r01-replica-0,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,32,16,1,64,0,119.40495319804177,548.854953205365,0.5359911652396142,524288,65536,4669.206487174961,10643.609818955878,24.59006271941154,27.730163360330458,24.590063046225083,18.553485488519073,29824.840649132966,36619.89458668977,548.854953205365,0.0005722641944885254,118.04859142703936,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r01-replica-1,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,32,16,1,64,0,118.04859142703936,555.1612196957464,0.5421496286091273,524288,65536,4650.370431234478,10613.54345681611,24.277092181561795,27.566889725795754,24.277092510124977,18.0218652356416,29485.83573297219,36066.44869714509,548.854953205365,0.0005722641944885254,118.04859142703936,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r02-node,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,32,32,2,128,0,119.6684714090079,1095.2926736401323,1.0696217516016917,1048576,131072,4728.558286638872,10746.154167712666,24.368505192088307,27.6830500515928,24.36850552570483,18.37196743581444,29657.539098145207,36363.44421308022,1095.2926736401323,0.0007687690667808056,117.79921711282805,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r02-replica-0,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,32,16,2,64,0,117.79998588189483,556.3328340778053,0.5432937832791067,524288,65536,4663.858022780914,10647.492398275059,24.20373260537473,27.14204765104744,24.203732943255126,18.384994566440582,29424.276478079264,36643.82413704879,547.6463368200662,0.0007687690667808056,117.79921711282805,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r02-replica-1,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,32,16,2,64,0,119.66770263994113,547.6498550088004,0.5348143115320316,524288,65536,4793.25855049683,10601.664605084803,24.533277778801875,27.760420922159906,24.533278108154537,18.355188821442425,29890.80171821115,35689.622778166085,547.6463368200662,0.0007687690667808056,117.79921711282805,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r03-node,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,32,32,3,128,0,119.4144804701209,1097.6223275768969,1.0718968042743133,1048576,131072,4727.420483253809,10726.226822589524,24.403378907918132,27.647085872957646,24.403379385471307,18.26197023037821,29692.077106054057,36588.46605941653,1097.6223275768969,7.966812700033188e-05,118.33498045289889,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r03-replica-0,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,32,16,3,64,0,118.33498045289889,553.8176433475259,0.5408375423315682,524288,65536,4661.56134945777,10621.4492655592,24.335464533982112,27.565038581387856,24.335465125411496,18.26558851171285,29556.741567721474,37103.970329626456,548.8111637884484,7.966812700033188e-05,118.33498045289889,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c32-c32-r03-replica-1,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,32,16,3,64,0,119.4144804701209,548.8111637884484,0.5359484021371567,524288,65536,4793.279617049848,10596.72755762003,24.471293281854148,27.60236536977468,24.471293645531116,18.25842505786568,29827.41264438664,35787.01388554182,548.8111637884484,7.966812700033188e-05,118.33498045289889,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r01-node,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,64,64,1,256,0,182.67076909914613,1435.0626610528973,1.40142837993447,2097152,262144,6305.00182447031,20634.38340695575,38.35857272997734,42.17785378127839,38.35857326225667,22.90147840976715,45545.821727237126,61817.06830242183,1435.0626610528973,2.3095402866601944e-05,182.19397953385487,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r01-replica-0,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,64,32,1,128,0,182.67076909914613,717.5313305264486,0.700714189967235,1048576,131072,6397.9830609496275,20420.061048003838,38.325628883380524,42.043170856766196,38.32562947809937,22.72938173264265,45605.1014086479,62163.567134388715,717.5313305264486,2.3095402866601944e-05,182.19397953385487,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r01-replica-1,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,64,32,1,128,0,182.19397953385487,719.4090624473379,0.7025479125462284,1048576,131072,6212.020587990992,20351.513885054734,38.391516576574155,42.19642859937774,38.391517046413966,23.212933004833758,45486.542045826354,61242.64603885821,717.5313305264486,2.3095402866601944e-05,182.19397953385487,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r02-node,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,64,64,2,256,0,184.51624868391082,1420.7095682346703,1.3874116877291702,2097152,262144,6303.675190838476,20626.6472034622,38.74243013808354,42.4189700048375,38.74243055008553,23.013930674642324,45937.181222097934,62633.255757857114,1420.7095682346703,0.0005399100482463837,183.48747865203768,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r02-replica-0,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,64,32,2,128,0,183.48801856208593,714.3354701149046,0.6975932325340866,1048576,131072,6397.647380053968,20427.171088149767,38.525218381573325,42.18641338336899,38.52521884654827,22.795708174817264,45808.94578440348,62573.72550135478,710.3547841173352,0.0005399100482463837,183.48747865203768,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r02-replica-1,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,64,32,2,128,0,184.51570877386257,710.3568626812055,0.6937078737121147,1048576,131072,6209.703001622984,20339.334935671643,38.95964189459375,42.54785082029872,38.95964225362278,23.268619435839355,46065.41665979239,62298.779682349406,710.3547841173352,0.0005399100482463837,183.48747865203768,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r03-node,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,64,64,3,256,0,183.42365502705798,1429.1722622217374,1.3956760373259154,2097152,262144,6301.523435227864,20628.620372503065,38.429648982066254,42.076302523304136,38.42964942170158,22.82220022752881,45615.05434388164,62013.06174672209,1429.1722622217374,5.8803241699934006e-05,181.9939306867309,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r03-replica-0,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,64,32,3,128,0,183.42359622381628,714.5863601979755,0.6978382423808355,1048576,131072,6392.2832394746365,20402.96664303168,38.51534485063642,42.16939972598426,38.51534538308644,22.827437333762646,45793.48102167569,62075.32439476344,714.5861311108687,5.8803241699934006e-05,181.9939306867309,PASS,accepted-background
gpu-6000d-46-dual-tp4-dsv4-node8-8192-1024-c64-c64-r03-replica-1,gpu-6000d-46,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,64,32,3,128,0,181.9939894899726,720.1996086097214,0.703319930282931,1048576,131072,6210.763630981091,20349.816506472413,38.343953113496084,41.9018271862359,38.34395346031673,22.812620736658573,45436.62766608759,61637.9184288904,714.5861311108687,5.8803241699934006e-05,181.9939306867309,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r01-node,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,2,1,2,off,64,8192,32768,32,32,1,128,0,136.8078877828084,958.0734131944607,0.9356185675727156,1048576,131072,6562.709338795685,15233.587699313648,26.620996448715267,34.19211146281531,26.620996750912887,23.03131592925638,33795.988705831405,42859.27400307264,958.0734131944607,0.0004523410461843014,133.67599928565323,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r01-replica-0,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,2,1,2,off,64,8192,32768,32,16,1,64,0,136.8078877828084,479.03670659723036,0.4678092837863578,524288,65536,6556.969464618305,15234.683499136008,27.009061249681686,34.19779851128651,27.00906159931172,23.203605390153825,34187.23912304267,42866.1989355227,479.03670659723036,0.0004523410461843014,133.67599928565323,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r01-replica-1,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,2,1,2,off,64,8192,32768,32,16,1,64,0,133.67599928565323,490.2600343383679,0.4787695647835624,524288,65536,6568.449212973064,14694.648432917893,26.23293164774885,33.59549621822001,26.23293190251405,22.732699709013104,33404.73828862014,42273.30169773195,479.03670659723036,0.0004523410461843014,133.67599928565323,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r02-node,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,2,1,2,off,64,8192,32768,32,32,2,128,0,123.73880215687677,1059.263527004457,1.03443703809029,1048576,131072,4890.337151831773,8363.431470585056,25.324502534051014,28.367498547943967,25.324502911383743,23.162326100282375,30797.30324416596,34968.74059755355,1059.263527004457,0.000506209209561348,122.76745536504313,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r02-replica-0,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,2,1,2,off,64,8192,32768,32,16,2,64,0,123.73880215687677,529.6317635022285,0.517218519045145,524288,65536,4943.765485149925,8255.6721933186,25.39207774133166,28.420953175511833,25.392078289880544,23.205761215649545,30919.861014532216,34813.539899955504,529.6317635022285,0.000506209209561348,122.76745536504313,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r02-replica-1,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,2,1,2,off,64,8192,32768,32,16,2,64,0,122.76745536504313,533.8222561112133,0.5213107969836067,524288,65536,4836.908818513621,8244.266325631175,25.256927326770363,28.361476067488216,25.256927532886934,23.056298098526895,30674.745473799703,34830.84332637954,529.6317635022285,0.000506209209561348,122.76745536504313,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r03-node,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,2,1,2,off,64,8192,32768,32,32,3,128,0,123.29399067442864,1063.0850642681366,1.0381690080743522,1048576,131072,4881.934559889487,8380.826410255395,25.326374755089482,28.810314911978463,25.326375556803285,23.22499635629356,30790.81593434603,34750.23729293607,1063.0850642681366,5.6449323892593384e-05,123.1766995396465,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r03-replica-0,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,2,1,2,off,64,8192,32768,32,16,3,64,0,123.29393422510475,531.5427754973509,0.5190847416966318,524288,65536,4796.1551799526205,8263.391814823259,25.42487943100119,28.831134572327464,25.424879975659607,23.227190948091447,30805.80683786684,34594.71315091941,531.5425321340683,5.6449323892593384e-05,123.1766995396465,PASS,accepted-background
