case,group,C,services,GPUs,round,requests,completed,failed,output_tok_s,ttft_s,tpot_ms,p95_ttft_s,p95_tpot_ms,e2el_s,mean_itl_ms,p95_itl_ms,goodput_req_s,joint_slo,jit_events,input_tokens,output_tokens,D_computed_input,D_remote_hits,NIXL_bytes,raw_local_path
P96,pd,96,4,16,measurement-01,384,384,0,2571.4425580753636,8.959882950135276,25.899048222081195,25.445323856332106,30.752517713432063,35.45460928132434,87.0552680891111,189.84900954528703,1.9880130453870406,0.7916666666666666,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/pd/results/P96-01/benchmark/c96/measurement-01
P96,pd,96,4,16,measurement-02,384,384,0,2568.038213168185,8.611100765141297,26.536562040085347,25.572284612513606,31.589785764503212,35.75800373214861,88.85905260636194,210.02697669318843,1.991911964457948,0.7942708333333334,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/pd/results/P96-01/benchmark/c96/measurement-02
P96,pd,96,4,16,measurement-03,384,384,0,2608.222310511184,8.799993516991284,25.959344842607408,25.62150756234186,30.892280379368515,35.356403290978655,87.602002505471,210.5987425660714,2.0230809649299903,0.7942708333333334,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/pd/results/P96-01/benchmark/c96/measurement-03
P112,pd,112,4,16,measurement-01,448,448,0,2827.246925517642,10.253568924223146,26.63742406685728,28.95869395597838,31.85651544430876,37.50365374461814,89.6022531193944,196.5324687305838,2.132366586367153,0.7723214285714286,0,7340032,458752,0.0,7340032.0,77228605440.0,experiments/dsv4-pd-c112-20260923/results/P112-01/benchmark/c112/measurement-01
P112,pd,112,4,16,measurement-02,448,448,0,2793.528036053592,10.133053055250068,26.988447981799993,29.14666440007277,32.32696204274876,37.74223534063146,91.0067827533679,210.1764469349291,2.1130245285265166,0.7745535714285714,0,7340032,458752,0.0,7340032.0,77228605440.0,experiments/dsv4-pd-c112-20260923/results/P112-01/benchmark/c112/measurement-02
P112,pd,112,4,16,measurement-03,448,448,0,2824.926348484889,10.428815429897181,26.379335943409274,29.038924304622917,32.448988568066426,37.41487610000487,89.40341327736829,192.67117311246687,2.075195703646867,0.7522321428571429,0,7340032,458752,0.0,7340032.0,77228605440.0,experiments/dsv4-pd-c112-20260923/results/P112-01/benchmark/c112/measurement-03
P128,pd,128,4,16,measurement-01,512,512,0,3059.912878508236,11.620662947251049,27.50600125475653,33.00860045685548,32.86339032434369,39.75930223086697,92.90752135635775,212.98570527578698,2.2469834484589977,0.751953125,0,8388608,524288,0.0,8388608.0,88261263360.0,experiments/dsv4-night-20260923/pd/results/P128-01/benchmark/c128/measurement-01
P128,pd,128,4,16,measurement-02,512,512,0,3078.379979754601,11.780882714914014,27.319599193276368,32.94164337323162,32.95476673268677,39.72883268963574,91.81076624211329,209.6118811983614,2.0609118898274708,0.685546875,0,8388608,524288,0.0,8388608.0,88261263360.0,experiments/dsv4-night-20260923/pd/results/P128-01/benchmark/c128/measurement-02
P128,pd,128,4,16,measurement-03,512,512,0,3063.460743026409,11.765858657528497,27.28759079670115,33.0070924719097,32.63981651723247,39.68106404255377,92.8102011762178,213.23044775635935,2.0100221550008484,0.671875,0,8388608,524288,0.0,8388608.0,88261263360.0,experiments/dsv4-night-20260923/pd/results/P128-01/benchmark/c128/measurement-03
P144,pd,144,4,16,measurement-01,576,576,0,3186.311975833753,14.300579004415745,28.062006278795053,36.11568272445584,33.81043988419287,43.00801142762308,94.42856990689948,210.21960850339383,0.8373317400686165,0.2690972222222222,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/pd/results/P144-01/benchmark/c144/measurement-01
P144,pd,144,4,16,measurement-02,576,576,0,3182.1879238899664,13.897587948968066,28.20460560716234,36.31135126351728,33.813707910555266,42.75089948509513,95.33524737315625,209.32668788591397,1.1383762816378835,0.3663194444444444,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/pd/results/P144-01/benchmark/c144/measurement-02
P144,pd,144,4,16,measurement-03,576,576,0,3180.9622377899577,14.286005113710214,27.904562265048007,37.019110701279715,33.36553040663493,42.832372310854325,94.17789893010445,214.56797643913885,1.0570417592482364,0.3402777777777778,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/pd/results/P144-01/benchmark/c144/measurement-03
