case,scope,deployment_status,concurrency,phase,completed,events,total_input_tokens,total_output_tokens,output_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2el_ms,p95_ttft_ms,p95_tpot_ms,p95_e2el_ms,nixl_rank_transfers,nixl_bytes
O3,retained_C64_unit_in_interrupted_deployment,FAILED_WITH_EVIDENCE,64,c64/warmup-01,512,0,8388608,524288,1160.071178609732,6682.255201597172,47.83713984104156,55619.64925898269,21110.13640591409,51.35391300791312,72157.14082666089,0,0
O3,retained_C64_unit_in_interrupted_deployment,FAILED_WITH_EVIDENCE,64,c64/measurement-01,512,0,8388608,524288,1159.4559676848646,6668.256942504286,47.83993460083239,55608.510039155815,20934.81234515784,51.40464311543117,72050.7160335779,0,0
O3,retained_C64_unit_in_interrupted_deployment,FAILED_WITH_EVIDENCE,64,c64/measurement-02,512,0,8388608,524288,1160.68953922756,6694.702370803952,47.79180409297533,55585.717957917725,20959.449831285747,51.34776515580867,71934.32113257585,0,0
O3,retained_C64_unit_in_interrupted_deployment,FAILED_WITH_EVIDENCE,64,c64/measurement-03,512,0,8388608,524288,1160.2169506733835,6668.915648813709,47.82385015163347,55592.71435393475,20952.66555446433,51.35347192427862,72019.5322794374,0,0
O3R,corrected_C128_pair,COMPLETE,128,c128/warmup-01,512,0,8388608,524288,1359.0170764222303,12185.47769231077,81.75700382938403,95822.89260977063,54077.96745419035,89.90868634988922,145112.57906994433,0,0
O3R,corrected_C128_pair,COMPLETE,128,c128/measurement-01,512,0,8388608,524288,1359.152214812762,12097.722503673367,81.80360323639748,95782.80861450799,53944.37614769557,89.70801169189278,145323.41448482475,0,0
O3R,corrected_C128_pair,COMPLETE,128,c128/measurement-02,512,0,8388608,524288,1358.3768180019458,12164.83743824324,81.72612781387453,95770.66619183688,53952.98738852142,90.02360077297752,145332.05808438943,0,0
O3R,corrected_C128_pair,COMPLETE,128,c128/measurement-03,512,0,8388608,524288,1358.07643353442,12144.303172811306,81.73660210631822,95760.84712757483,53898.30352392745,89.80548524746479,145167.5454825279,0,0
P2D1,corrected_C128_pair,COMPLETE,128,c128/warmup-01,512,0,8388608,524288,1274.3016617968797,50574.50752009186,43.189217190033645,94757.07670549628,77673.95570282824,45.026850285101176,123551.33593261125,2048.0,176522526720.0
P2D1,corrected_C128_pair,COMPLETE,128,c128/measurement-01,512,0,8388608,524288,1273.7467073802775,50301.5638364252,43.490030922257766,94791.8654698949,77695.565457514,45.42605960350174,123660.98322001052,2048.0,176522526720.0
P2D1,corrected_C128_pair,COMPLETE,128,c128/measurement-02,512,0,8388608,524288,1273.6606848038386,50457.69341956702,43.320983440041665,94775.05947872964,77669.79332645422,45.067617258834005,123607.63108466052,2048.0,176522526720.0
P2D1,corrected_C128_pair,COMPLETE,128,c128/measurement-03,512,0,8388608,524288,1274.0093416748732,50412.853742482184,43.35514522175331,94765.16730433582,77620.24314855225,45.08805257425405,123562.3047917499,2048.0,176522526720.0
