c,round,start_s,duration_s,p0_p_req_s,p1_p_req_s,p2_p_req_s,all_p_req_s,d_req_s
96,measurement-01,0.0,10.0,0.8,0.8,0.8,2.4,0.0
96,measurement-01,10.0,10.0,1.2,1.2,1.2,3.6,0.0
96,measurement-01,20.0,10.0,1.2,1.2,1.3,3.7,0.8
96,measurement-01,30.0,10.0,0.7,0.7,0.7,2.1,2.4
96,measurement-01,40.0,10.0,0.9,1.0,0.7,2.6,3.5
96,measurement-01,50.0,10.0,0.8,0.9,1.2,2.9,3.4
96,measurement-01,60.0,10.0,1.2,1.2,1.0,3.4,2.2
96,measurement-01,70.0,10.0,1.0,0.8,0.9,2.7,2.2
96,measurement-01,80.0,10.0,0.7,0.7,0.9,2.3,3.3
96,measurement-01,90.0,10.0,0.9,1.0,0.8,2.7,3.5
96,measurement-01,100.0,10.0,1.1,1.1,1.2,3.4,2.4
96,measurement-01,110.0,10.0,0.9,0.9,0.8,2.6,2.6
96,measurement-01,120.0,10.0,0.9,1.0,0.8,2.7,2.7
96,measurement-01,130.0,10.0,0.4,0.5,0.4,1.3,3.6
96,measurement-01,140.0,10.0,0.0,0.0,0.0,0.0,4.5
96,measurement-01,150.0,2.8500074739567935,0.0,0.0,0.0,0.0,4.210515273961671
96,measurement-02,0.0,10.0,0.8,0.8,0.8,2.4,0.0
96,measurement-02,10.0,10.0,1.2,1.2,1.2,3.6,0.0
96,measurement-02,20.0,10.0,1.1,1.2,1.2,3.5,0.5
96,measurement-02,30.0,10.0,1.0,0.7,0.9,2.6,3.0
96,measurement-02,40.0,10.0,0.8,0.8,0.8,2.4,2.3
96,measurement-02,50.0,10.0,0.8,0.9,0.9,2.6,4.2
96,measurement-02,60.0,10.0,1.3,1.1,1.2,3.6,2.2
96,measurement-02,70.0,10.0,0.7,0.9,0.8,2.4,2.4
96,measurement-02,80.0,10.0,0.8,0.8,0.6,2.2,3.0
96,measurement-02,90.0,10.0,1.0,1.0,1.1,3.1,3.3
