c,round,window,window_s,window_start_relative_s,window_end_relative_s,full_window_s,p_initial_c_finished_s,client_last_dispatch_s,p0_p_completions,p0_p_req_s,p0_p_input_tok_s,p0_p_inflight_mean,p1_p_completions,p1_p_req_s,p1_p_input_tok_s,p1_p_inflight_mean,p2_p_completions,p2_p_req_s,p2_p_input_tok_s,p2_p_inflight_mean,all_p_completions,all_p_req_s,all_p_input_tok_s,all_p_inflight_mean,d_completions,d_req_s,p_done_to_d_done_inflight_mean,p0_samples,p0_running_mean,p0_running_max,p0_waiting_mean,p0_waiting_max,p1_samples,p1_running_mean,p1_running_max,p1_waiting_mean,p1_waiting_max,p2_samples,p2_running_mean,p2_running_max,p2_waiting_mean,p2_waiting_max,d0_samples,d0_running_mean,d0_running_max,d0_waiting_mean,d0_waiting_max
96,measurement-01,middle20-80,91.71000448428094,30.570001494837925,122.28000597911887,152.8500074739568,29.357978984946385,128.5330995459808,84,0.915930606179368,15006.607051642764,5.250146196332974,86,0.9377384777550672,15363.907219539022,4.855748476184412,84,0.915930606179368,15006.607051642764,4.85732207271606,254,2.7695996901138034,45377.121322824554,14.963216745233446,262,2.8568311764166,81.02604659086327,10,3.0,4.0,0.5,2.0,10,2.6,4.0,0.4,1.0,10,2.5,4.0,0.4,1.0,10,79.8,88.0,0.6,2.0
96,measurement-01,refill-intersection,91.71000448428094,30.570001494837925,122.28000597911887,152.8500074739568,29.357978984946385,128.5330995459808,84,0.915930606179368,15006.607051642764,5.250146196332974,86,0.9377384777550672,15363.907219539022,4.855748476184412,84,0.915930606179368,15006.607051642764,4.85732207271606,254,2.7695996901138034,45377.121322824554,14.963216745233446,262,2.8568311764166,81.02604659086327,10,3.0,4.0,0.5,2.0,10,2.6,4.0,0.4,1.0,10,2.5,4.0,0.4,1.0,10,79.8,88.0,0.6,2.0
96,measurement-02,middle20-80,91.83377764071338,30.611259213648736,122.44503685436212,153.05629606801085,30.368014165083878,130.0611798610771,83,0.9038068794765878,14807.971913344414,4.839401637907687,84,0.9146961189883539,14986.38121350519,4.412473898180209,87,0.9473638375236523,15521.609113987519,4.50330519831306,254,2.765866835988594,45315.96224083712,13.755180734400955,256,2.787645315012126,82.23509208715815,10,2.7,4.0,0.3,1.0,10,2.8,4.0,0.4,1.0,11,2.8181818181818183,4.0,0.09090909090909091,1.0,11,81.0909090909091,87.0,0.45454545454545453,2.0
96,measurement-02,refill-intersection,91.83377764071338,30.611259213648736,122.44503685436212,153.05629606801085,30.368014165083878,130.0611798610771,83,0.9038068794765878,14807.971913344414,4.839401637907687,84,0.9146961189883539,14986.38121350519,4.412473898180209,87,0.9473638375236523,15521.609113987519,4.50330519831306,254,2.765866835988594,45315.96224083712,13.755180734400955,256,2.787645315012126,82.23509208715815,10,2.7,4.0,0.3,1.0,10,2.8,4.0,0.4,1.0,11,2.8181818181818183,4.0,0.09090909090909091,1.0,11,81.0909090909091,87.0,0.45454545454545453,2.0
96,measurement-03,middle20-80,90.41313231003005,30.137710770010017,120.55084308004007,150.68855385005008,29.35867651598528,128.583669301006,85,0.9401289152170039,15403.072146915392,4.873515805196237,83,0.9180082348589568,15040.646919929148,4.928101382372004,83,0.9180082348589568,15040.646919929148,4.618371417951102,251,2.7761453849349174,45484.365986773686,14.419988605519341,252,2.787205725113941,81.57000472161204,11,2.4545454545454546,4.0,0.2727272727272727,1.0,10,2.4,4.0,0.6,4.0,10,2.4,4.0,0.3,3.0,10,80.5,90.0,1.1,4.0
96,measurement-03,refill-intersection,90.41313231003005,30.137710770010017,120.55084308004007,150.68855385005008,29.35867651598528,128.583669301006,85,0.9401289152170039,15403.072146915392,4.873515805196237,83,0.9180082348589568,15040.646919929148,4.928101382372004,83,0.9180082348589568,15040.646919929148,4.618371417951102,251,2.7761453849349174,45484.365986773686,14.419988605519341,252,2.787205725113941,81.57000472161204,11,2.4545454545454546,4.0,0.2727272727272727,1.0,10,2.4,4.0,0.6,4.0,10,2.4,4.0,0.3,3.0,10,80.5,90.0,1.1,4.0
128,measurement-01,middle20-80,102.75153477722779,34.25051159237046,137.00204636959825,171.2525579619687,39.718739073956385,143.7982309910003,120,1.167865767262436,19134.31273082775,8.386316366739154,118,1.148401337808062,18815.407518647287,8.496520890534015,120,1.167865767262436,19134.31273082775,8.145309491423557,358,3.4841328723329337,57084.032980302785,25.028146748696727,346,3.36734629560669,102.96024759317304,12,3.6666666666666665,4.0,1.5,4.0,12,3.8333333333333335,4.0,1.5,3.0,12,3.8333333333333335,4.0,1.3333333333333333,4.0,12,101.0,105.0,0.9166666666666666,3.0
128,measurement-01,refill-intersection,97.28330729564186,39.718739073956385,137.00204636959825,171.2525579619687,39.718739073956385,143.7982309910003,112,1.151276648722832,18862.51661267488,8.261623287902067,112,1.151276648722832,18862.51661267488,8.40588272980342,113,1.1615559045150001,19030.931939573762,8.018085955803246,337,3.4641092019606643,56755.965164923524,24.685591973508732,332,3.4127129229998237,103.30263170334267,11,3.6363636363636362,4.0,1.2727272727272727,2.0,11,3.8181818181818183,4.0,1.3636363636363635,2.0,11,3.8181818181818183,4.0,1.0909090909090908,2.0,11,101.63636363636364,105.0,0.7272727272727273,3.0
128,measurement-02,middle20-80,102.1392564708367,34.04641882353462,136.18567529437132,170.23209411790594,39.74647707492113,143.07302001700737,117,1.1454949256792994,18767.788862329642,8.60588418596109,118,1.1552854805996355,18928.19731414443,8.235362115237288,117,1.1454949256792994,18767.788862329642,8.519699470900829,352,3.4462753319582347,56463.77503880372,25.360945772099207,342,3.3483697827548755,102.62756191858401,12,3.75,4.0,2.0,6.0,12,3.8333333333333335,4.0,2.0833333333333335,6.0,12,3.8333333333333335,4.0,2.1666666666666665,5.0,12,101.33333333333333,111.0,0.8333333333333334,4.0
128,measurement-02,refill-intersection,96.43919821945019,39.74647707492113,136.18567529437132,170.23209411790594,39.74647707492113,143.07302001700737,109,1.1302458130351452,18517.947400767818,8.412363496728817,111,1.1509842683201936,18857.726252158052,8.034808233758904,110,1.1406150406776694,18687.836826462935,8.353442757984414,330,3.421845122033008,56063.5104793888,24.800614488472135,322,3.338891300892814,103.18793282689033,11,3.727272727272727,4.0,1.6363636363636365,4.0,11,3.8181818181818183,4.0,1.7272727272727273,3.0,11,3.8181818181818183,4.0,1.9090909090909092,3.0,11,102.18181818181819,111.0,0.9090909090909091,4.0
