case,group,C,round,cohort,N,pass_count,ttft_only,tpot_only,both,ttft_s,tpot_ms
P128,pd,128,measurement-01,full,512,385,127,0,0,11.620662947251049,27.50600125475653
P128,pd,128,measurement-01,initial_C,128,18,110,0,0,22.322501385491705,26.96480987968151
P128,pd,128,measurement-01,remaining_3C,384,367,17,0,0,8.053383467837497,27.686398379781537
P128,pd,128,measurement-02,full,512,351,161,0,0,11.780882714914014,27.319599193276368
P128,pd,128,measurement-02,initial_C,128,18,110,0,0,22.28863199754869,26.113264007090446
P128,pd,128,measurement-02,remaining_3C,384,333,51,0,0,8.278299620702455,27.721710922005006
P128,pd,128,measurement-03,full,512,344,168,0,0,11.765858657528497,27.287590796701146
P128,pd,128,measurement-03,initial_C,128,18,110,0,0,22.349291876833377,27.3279500636312
P128,pd,128,measurement-03,remaining_3C,384,326,58,0,0,8.238047584426871,27.274137707724467
P144,pd,144,measurement-01,full,576,155,421,0,0,14.300579004415745,28.062006278795053
P144,pd,144,measurement-01,initial_C,144,20,124,0,0,24.433953428565776,28.585909141260704
P144,pd,144,measurement-01,remaining_3C,432,135,297,0,0,10.922787529699066,27.8873719913065
P144,pd,144,measurement-02,full,576,211,365,0,0,13.897587948968066,28.204605607162335
P144,pd,144,measurement-02,initial_C,144,19,125,0,0,24.429408651184833,28.93279240889537
P144,pd,144,measurement-02,remaining_3C,432,192,240,0,0,10.386981048229144,27.96187667325132
P144,pd,144,measurement-03,full,576,196,380,0,0,14.286005113710214,27.904562265048007
P144,pd,144,measurement-03,initial_C,144,18,126,0,0,24.565741223056747,27.080388902573688
P144,pd,144,measurement-03,remaining_3C,432,178,254,0,0,10.859426410594702,28.179286719206114
P96,pd,96,measurement-01,full,384,304,80,0,0,8.959882950135276,25.899048222081195
P96,pd,96,measurement-01,initial_C,96,18,78,0,0,17.79769921598927,25.797624877145214
P96,pd,96,measurement-01,remaining_3C,288,286,2,0,0,6.0139441948506125,25.93285600372652
P96,pd,96,measurement-02,full,384,305,79,0,0,8.611100765141297,26.536562040085347
P96,pd,96,measurement-02,initial_C,96,18,78,0,0,17.748679210177215,26.60393817810747
P96,pd,96,measurement-02,remaining_3C,288,287,1,0,0,5.565241283462658,26.514103327411306
P96,pd,96,measurement-03,full,384,305,79,0,0,8.799993516991284,25.959344842607404
P96,pd,96,measurement-03,initial_C,96,18,78,0,0,17.804102287340356,26.018964394203657
P96,pd,96,measurement-03,remaining_3C,288,287,1,0,0,5.798623926874926,25.939471658741983
O128,ordinary,128,measurement-01,full,512,224,75,192,21,6.292588002916773,45.8395197202022
O128,ordinary,128,measurement-01,initial_C,128,14,75,18,21,16.758503325392667,43.07477449383673
O128,ordinary,128,measurement-01,remaining_3C,384,210,0,174,0,2.803949562091475,46.76110146232402
O128,ordinary,128,measurement-02,full,512,216,75,200,21,6.40647256434886,45.42462334094274
O128,ordinary,128,measurement-02,initial_C,128,12,75,20,21,16.9733275832823,42.694809628973424
O128,ordinary,128,measurement-02,remaining_3C,384,204,0,180,0,2.884187558037714,46.33456124493251
O128,ordinary,128,measurement-03,full,512,227,72,188,25,6.390325315357131,45.675310352821086
O128,ordinary,128,measurement-03,initial_C,128,16,72,15,25,16.949382239014994,43.88489324243651
O128,ordinary,128,measurement-03,remaining_3C,384,211,0,173,0,2.8706396741378435,46.27211605628261
O144,ordinary,144,measurement-01,full,576,179,72,285,40,6.760827496594276,50.80361402503839
O144,ordinary,144,measurement-01,initial_C,144,13,72,19,40,18.699677310829024,48.541808454619186
