id,case,c,round,completed,failed,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,good_requests,joint_pass_rate,request_goodput,window_start,window_end,p0_queue_s,p0_prefill_s,p0_decode_s,d0_queue_s,d0_prefill_s,d0_decode_s,proxy_prefill_elapsed_s,r0_queue_s,r0_prefill_s,r0_decode_s,r1_queue_s,r1_prefill_s,r1_decode_s
PD-C32-measurement-01,PD,32,1,256,0,0,1144.9128510764035,1.1180789561293003,228.9641519470606,4194304,262144,11996.709340036887,11131.925342488103,20073.28894676175,28408.817057852866,15.089345378154924,18.619936751440726,50.702711539259894,50.023779785260544,27433.109661889375,36426.96727800649,52,0.203125,0.2271097879637641,1790000036.9675624,1790000265.9042304,5.570974842343276,4.981995672238554,0.0,0.13549364036589395,0.27896784244512673,15.445016688507167,11.469184704501913,,,,,,
PD-C32-measurement-02,PD,32,2,256,0,0,1145.8413026962428,1.1189856471642996,228.77862700808328,4194304,262144,12143.552589313913,11346.256952965632,19994.727489247452,28357.175190962153,15.01559018916679,17.7363357331728,50.52489408726145,50.01378105953336,27504.50135283154,35738.88271130272,44,0.171875,0.192325658106364,1790000305.8891306,1790000534.6399944,5.703081155999826,4.983411812365375,0.0,0.13359164534995216,0.2776096455490915,15.369474908486154,11.61726294920527,,,,,,
PD-C32-measurement-03,PD,32,3,256,0,0,1148.3327661776605,1.1214187169703715,228.28226078802254,4194304,262144,11799.187071998404,11017.41031248821,20009.5889569493,28443.227328808276,15.17292686481109,17.87982573493189,51.22740839775967,50.75195523677394,27321.09125470015,36272.74731526268,62,0.2421875,0.2715935955162619,1790000574.6963603,1790000802.9491508,5.378233064391679,4.983358258617955,0.0,0.1351921273599146,0.2835663879122876,15.530408930873818,11.26352867048081,,,,,,
PD-C64-measurement-01,PD,64,1,256,0,0,1143.500173226926,1.11669938791692,229.2470138069475,4194304,262144,36246.25147255301,37956.686888530385,46769.9867625488,55150.802562729215,14.984662209845752,17.958899371700138,50.498035831099784,50.10560835944488,51575.560913225214,63798.79191220971,8,0.03125,0.03489685587240375,1790001112.4800248,1790001341.6805427,29.669998645920714,4.982442636381165,0.0,0.13480599004105898,0.2752730923057243,15.33791523243417,35.707290590502,,,,,,
PD-C64-measurement-02,PD,64,2,256,0,0,1143.9449794288525,1.1171337689734888,229.15787447302137,4194304,262144,36102.220795662106,37724.902226997074,46808.15071146935,55105.60978918802,15.188828946482287,17.439311672102676,51.26259318059609,51.16051118238829,51640.392807913486,63233.0159622943,7,0.02734375,0.030546626495368833,1790001382.8435988,1790001611.9562862,29.4950384427284,4.985361182443739,0.0,0.13501017762246192,0.2860091094044037,15.546975468532764,35.54930794186566,,,,,,
PD-C64-measurement-03,PD,64,3,256,0,0,1144.7739268748146,1.1179432879636861,228.99193792406004,4194304,262144,36336.16161921691,37899.75411596242,46924.92328750086,55183.05275841266,14.977679472049862,18.106483608976557,50.330724340734605,49.63139087776653,51658.32771912392,62359.40155625576,8,0.03125,0.03493572774886519,1790001652.9695055,1790001881.9136233,29.72213908814956,4.9823004890131415,0.0,0.13340937214525184,0.272130340734293,15.33092694890729,35.80071629509621,,,,,,
OR-C32-measurement-01,OR,32,1,256,0,0,951.5642063545506,0.9292619202681158,275.48745344707277,4194304,262144,3017.3872337709327,1615.450432524085,11258.782478718786,14619.785584817873,30.065819539505426,38.26944495799709,101.26392170527394,152.67637878423557,33774.72062268498,43568.29605353414,240,0.9375,0.8711830502513586,1790003109.5303671,1790003384.9925146,,,,,,,,0.5469388779747533,2.102054580223921,30.89509305518004,0.5068399188749027,2.170781825981976,30.63655815547827
OR-C32-measurement-02,OR,32,2,256,0,0,945.1704734482696,0.9230180404768258,277.35102541197557,4194304,262144,3193.083823970028,1627.7191455010325,11168.980984279187,15502.23997760331,30.14380361610085,38.45768028329457,101.58667524405502,153.238056920236,34030.1949232412,45259.11301566521,239,0.93359375,0.8617238737264116,1790003425.2895646,1790003702.6146727,,,,,,,,0.5559271488382365,2.3421745691011893,30.777878828790563,0.5657372465575463,2.1425004821721814,30.91326508023485
OR-C32-measurement-03,OR,32,3,256,0,0,950.488567986619,0.9282114921744327,275.79921403503977,4194304,262144,3081.2357955878724,1615.5465099727735,11267.037472251104,14743.657079385592,30.060842151471228,40.10677654275107,101.2653903921162,152.5615894061047,33833.477316542936,45057.15678122942,241,0.94140625,0.873824100054837,1790003743.155424,1790004018.9299328,,,,,,,,0.5546087956390693,2.1303370410460047,30.709012007981073,0.528016643031151,2.221598104806617,30.81253131951962
OR-C64-measurement-01,OR,64,1,256,0,0,1202.4647424142465,1.1742819750139126,218.00556037400384,4194304,262144,6337.594101141804,2990.6541374512017,24559.81333577074,27977.678738330724,45.710493326527676,68.91497884113896,153.3351668093271,1327.0881904754788,53099.428774179614,77192.71961753839,111,0.43359375,0.5091613251036887,1790004321.5493448,1790004539.5101287,,,,,,,,2.690716476441594,3.00009139226313,46.88203774475551,2.7072330476730713,2.9583075642512995,46.660749973205384
