case,phase,events,completed,failed,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
D16O3,warmup-01,40,256,0,1157.2433993177626,1.1301205071462526,226.5245152009884,4194304,262144,8254.625302565728,5380.777332058642,27683.43918977189,32815.243177401135,46.67798164483604,51.40607797846613,46.677982212432745,24.573626089841124,56006.200525233,78958.91472516814
D16O3,measurement-01,0,256,0,1157.2906544122718,1.1301666546994842,226.5152656340506,4194304,262144,8198.190119017454,5383.4418640471995,27486.97435448412,32585.339621576713,46.398239667863855,51.376495339898824,46.39824034471061,24.57361299311742,55663.58929924217,78944.01295401622
D16O3,measurement-02,0,256,0,1157.4593587387108,1.1303314050182722,226.4822501289891,4194304,262144,8193.812751738278,5382.163172471337,27468.56434099027,32590.298315277323,46.38974729210711,51.42542774119789,46.38974788926151,24.596778611885384,55650.524231563846,78931.05509856832
D16O3,measurement-03,0,256,0,1156.5931840049916,1.1294855312548746,226.65186309698038,4194304,262144,8192.579931063847,5387.340285466053,27475.92104630894,32567.918015061878,46.415998796831964,51.392783102397786,46.41599937527771,24.662640842143446,55676.14670022295,78838.7226582854
D16P2D1,warmup-01,0,256,0,1191.3438306222392,1.1634217095920305,220.04059051792137,4194304,262144,9668.001029119296,2730.096195533406,39335.11944767088,46878.19524607621,41.390677707015556,44.680199555983044,41.39067821414643,176.5648564673029,52010.66432339621,83106.2533914519
D16P2D1,measurement-01,0,256,0,1191.2284403073925,1.163309023737688,220.06190511398017,4194304,262144,9488.005431431702,2665.781388001051,39383.21739601088,46894.1016065597,41.60148581524903,44.78605198507759,41.60148630183492,178.52655558963306,52046.32542043146,83841.84953570366
D16P2D1,measurement-02,0,256,0,1190.4476400768958,1.1625465235125936,220.20624105993193,4194304,262144,9466.962502319802,2687.247287016362,39344.28620475228,46871.020517265424,41.634776007046874,44.77846763004687,41.63477649438534,178.478577255737,52059.33835752876,84104.40284275683
D16P2D1,measurement-03,0,256,0,1189.7038459893834,1.1618201620990072,220.34391238098033,4194304,262144,9484.312651270557,2714.5072515122592,39378.99441475747,46872.06501226174,41.64451838640514,44.818431837740285,41.64451887453841,174.14091230602935,52086.65496056301,83926.77926729084
D16P1D2,warmup-01,0,256,0,661.4439320529642,0.6459413398954729,396.32081767893396,4194304,262144,66390.55949909243,72271.10297750914,81384.95956826955,91943.55956953367,21.32351087268438,41.24627896510147,21.32676889556295,24.2112040577922,88204.51112184855,103580.30443376629
D16P1D2,measurement-01,0,256,0,664.3492691936261,0.6487785831969005,394.587624546024,4194304,262144,71282.34479643562,78622.58711294271,81424.6258335479,91965.97354004624,16.1485234019886,16.436098659560603,16.14852404651407,16.59398638876155,87802.28423666995,98170.0013364898
D16P1D2,measurement-02,0,256,0,664.3685123151829,0.6487973753077958,394.5761955010239,4194304,262144,71427.48300378161,78677.11267748382,81900.70309574367,91984.50123053043,15.906718644548464,16.375344998005435,15.906719286858422,16.422409960068762,87700.05617715469,98529.32854529354
D16P1D2,measurement-03,0,256,0,664.2841588397104,0.6487149988669046,394.62630037404597,4194304,262144,71571.41642682246,78681.2026394764,81894.28664295701,91948.20588144938,15.790319408745832,16.38076715521835,15.790320045680623,16.348259866936132,87724.91318196944,98118.65429446334
D8O3,warmup-01,24,256,0,1647.266137143498,1.6086583370541974,159.13882650109008,2090525,262144,4671.426362582224,3792.626791575458,13801.62816750817,17019.711876189103,34.062019832508014,37.1232588269567,34.06202039265895,24.17784809949808,39516.87265123792,49842.37196229515
D8O3,measurement-01,0,256,0,1649.8957853099091,1.6112263528417081,158.88518676999956,2090525,262144,4572.530111263859,3791.1079954355955,13232.911244733259,15729.327463259684,33.806907747235144,36.71300803813132,33.80690826285641,24.218927044421434,39156.99673668541,49119.67112170532
D8O3,measurement-02,0,256,0,1651.2905146576707,1.6125883932203815,158.75098759005778,2090525,262144,4528.17715811625,3788.2931280182675,13226.805710204644,15734.705806837881,33.87827939459322,36.98935118621195,33.87827991195969,24.255228869151324,39185.65697878512,49047.567170957336
D8O3,measurement-03,0,256,0,1651.1482339828058,1.6124494472488338,158.76466728106607,2090525,262144,4575.289443307156,3792.6306095323525,13715.664117509732,16070.058259100186,33.827269008058785,36.681376460227035,33.82726954552748,24.14437787956558,39180.58563855129,49161.20700299507
D8P1D2,warmup-01,0,256,0,1184.2920942739556,1.1565352483144098,221.35079788800795,2090525,262144,20102.678899822422,21680.14819547534,40608.147589460714,48776.24261097516,29.37291133680993,49.29331564826969,29.372911865735333,27.42863980238326,50151.16719737898,75502.65081523685
D8P1D2,measurement-01,0,256,0,1244.0560806002477,1.2148985162111794,210.71718878904358,2090525,262144,26012.296362904635,26111.526103515644,38841.99809120037,46407.36524530802,21.481124734832463,22.210117834075085,21.48112524342003,21.287806995678693,47987.486966638244,61332.75734903873
D8P1D2,measurement-02,0,256,0,1243.814533849043,1.2146626307119561,210.75810972298495,2090525,262144,26001.860810491962,26134.707110526506,38820.99660404492,46359.95391191099,21.501054051315958,22.282458699154933,21.50105456573345,21.328169788466766,47997.43910498819,61337.09895424545
D8P1D2,measurement-03,0,256,0,1243.7668638134369,1.2146160779428095,210.76618748006877,2090525,262144,26090.804193383065,26218.748454062734,39235.8391029702,46982.021100446575,21.46347061878176,22.08304872213661,21.463471181020626,21.243628580123186,48047.93463639681,61717.81485172687
