concurrency_global,round,completed,failed,total_input_tokens,total_output_tokens,output_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_e2el_ms,p95_e2el_ms,duration,joint_good_requests,joint_pass_rate,goodput_req_s,jit_log_matches
16,1,64,0,1048576,65536,1114.851049242161,2447.27079506265,4888.988919067194,10.880734441842273,13.650442911428053,13578.262129067298,16825.33888153266,58.78453453001566,64,1.0,1.0887217277755479,0
16,2,64,0,1048576,65536,1171.9198392693331,2454.7569138521794,4783.866761822715,10.436720549691566,12.351377064408599,13131.522036186652,15871.94115750026,55.921913601923734,64,1.0,1.1444529680364581,0
16,3,64,0,1048576,65536,1109.5410322359592,2520.079438778339,4844.058426737316,10.706415969538977,13.374713253521632,13472.742975616711,16591.233177680984,59.06586425914429,64,1.0,1.0835361642929289,0
32,1,128,0,2097152,131072,1758.4558321094053,3344.633241187694,7255.391571670769,14.020928969328493,17.08514321520779,17688.04357681074,22617.378173593894,74.53812464699149,128,1.0,1.717242023544341,0
32,2,128,0,2097152,131072,1754.0143897127166,3247.031415692618,7308.698509214446,13.939789954217668,16.784885153766147,17507.43653885729,22270.11968154693,74.7268669907935,128,1.0,1.7129046774538248,0
32,3,128,0,2097152,131072,1765.8745358117335,3340.5881562030117,7325.370030337944,13.847421320317823,16.70310681939347,17506.500166888145,21514.626288460564,74.2249788090121,128,1.0,1.724486851378646,0
48,1,192,0,3145728,196608,2222.0285847933246,4227.650824475859,10559.871074673718,15.98666265447506,19.726860664856826,20582.006720003847,25907.745027029887,88.48130998201668,180,0.9375,2.034327927972404,0
48,2,192,0,3145728,196608,2204.823037666372,3927.567510991745,10489.526409236714,16.507024485458892,21.66939067249418,20814.25355961619,27750.065324199386,89.17178233410232,180,0.9375,2.0185757791134997,0
48,3,192,0,3145728,196608,2234.4598369338514,4234.520167534356,10498.541020590346,15.984081936957228,19.239220745044005,20586.235989041597,26416.487846849486,87.98905075411312,180,0.9375,2.0457090792241073,0
64,1,256,0,4194304,262144,2687.170442292066,4682.114471835121,12694.121225911658,17.489557836194933,20.854642076913052,22573.932138262535,31239.63048600126,97.55391614697874,228,0.890625,2.33716911637341,0
64,2,256,0,4194304,262144,2664.1013976800095,4715.842991186037,12638.44013196649,17.421678693922388,20.570884816160103,22538.22029506864,30978.56211301405,98.39865713380277,228,0.890625,2.3171047922937094,0
64,3,256,0,4194304,262144,2689.8937756004843,4922.687110439256,12674.517982406542,17.4753369351977,20.60632468245601,22799.9567951465,30293.44055749243,97.45514948503114,228,0.890625,2.339537738177911,0
80,1,320,0,5242880,327680,3006.8920584444627,5543.535048956255,15908.918439899571,19.26211483020609,22.834599770529092,25248.67852025709,35637.72584457183,108.97630963497795,276,0.8625,2.5326605472737787,0
80,2,320,0,5242880,327680,3001.7182677838787,5416.058421025082,15839.282438589727,19.32521190786817,23.041341358996956,25185.750202774216,36025.58140303009,109.1641422570683,276,0.8625,2.5283027401988236,0
80,3,320,0,5242880,327680,2983.987419823643,5398.481861074833,15807.263919932306,19.587468914479953,24.085874573219723,25436.462560587825,36477.57713048486,109.81279539689422,276,0.8625,2.5133683101541915,0
96,1,384,0,6291456,393216,3335.3478800263847,6257.547287400182,18851.499586820104,20.56543667219245,24.958150420519534,27295.989003053062,40085.80227229976,117.89354938198812,324,0.84375,2.748241966574475,0
96,2,384,0,6291456,393216,3280.538891627947,6495.589366919376,18818.84788071034,20.586672495901517,24.193679237998165,27555.755330226628,40144.759265007444,119.86323375208303,324,0.84375,2.703080751768633,0
96,3,384,0,6291456,393216,3310.6116652186624,6544.0230570305475,18857.726022985258,20.17074890676672,24.00805817063277,27178.6991886529,39660.08838095002,118.77442592591979,324,0.84375,2.727859953640866,0
112,1,448,0,7340032,458752,3594.658470943489,7207.060372100386,21162.067644868508,21.35054457341374,25.694397983210884,29048.66747070264,43720.16246888087,127.62046901206486,373,0.8325892857142857,2.9227286413180136,0
112,2,448,0,7340032,458752,3662.3183934696926,7332.597290076852,21039.16614105692,21.15026241932582,25.544097945892965,28969.315745047166,43261.8895401014,125.26272997399792,372,0.8303571428571429,2.969758044369781,0
112,3,448,0,7340032,458752,3615.0321358682586,7202.801256508143,21042.565846524667,21.390002412895516,25.80359082839489,29084.773724900257,43226.80076254764,126.90122321411036,373,0.8325892857142857,2.9392939685905684,0
128,1,512,0,8388608,524288,3944.2897578933325,8082.779371313336,24293.072029517498,22.45396847884003,26.92261333449881,31053.189125166682,48282.14732391061,132.92329726810567,419,0.818359375,3.1521938487192274,0
128,2,512,0,8388608,524288,3909.5843069134567,8133.275811524982,24305.89689348126,22.336427348494183,26.888009008814016,30983.440989034534,47637.10306513821,134.1032597948797,419,0.818359375,3.12445797843311,0
128,3,512,0,8388608,524288,3937.457568804884,8096.073913642158,24253.947377612345,22.501781432074036,26.662741832556666,31115.396318653893,47489.350421342526,133.1539428269025,417,0.814453125,3.131713497527383,0
144,1,576,0,9437184,589824,4123.496872692339,9191.073040363537,26609.50746788876,23.464743682929516,28.65330126812046,33195.50582800043,52763.78550741356,143.03975926502608,448,0.7777777777777778,3.131996322574476,0
144,2,576,0,9437184,589824,4128.240922911356,9125.486345642355,26481.160989322234,23.565822448740075,28.249088373048394,33233.322710703455,51247.14994127862,142.87538227881305,458,0.7951388888888888,3.2055907231536884,0
144,3,576,0,9437184,589824,4111.190112788297,9253.759294872403,26440.03973447252,23.518468741527933,28.440833239786997,33313.15281745548,52684.46851329645,143.46794573310763,454,0.7881944444444444,3.1644699286666644,0
160,1,640,0,10485760,655360,4293.501901179267,11927.671226468738,29595.094197231803,23.307138978238452,28.109150151093967,35770.874401206675,53754.62177882435,152.63996967603453,366,0.571875,2.39779921849306,0
160,2,640,0,10485760,655360,4273.442588180775,12189.121378459458,29519.40089678391,22.978985469736266,27.593427400226687,35696.62351399966,53417.119880951934,153.35645360313356,292,0.45625,1.9040607234936313,0
160,3,640,0,10485760,655360,4224.284916442183,11578.658738447484,29560.16827028942,23.77748821003593,28.07180794854471,35903.02917731424,55793.381719058365,155.14105060696602,421,0.6578125,2.713659591403441,0
