mode,concurrency,request_per_s,actual_input_tokens_per_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,mean_queue_s,mean_prefill_s,completed,input_tokens,output_tokens,computed_prefill_tokens,prefix_hits,preemptions,jit_event_count,tpot_s
on,8,1.1005227729786298,18030.96511248187,7.212051862923545,6.743091833312064,8.376855675829574,0.8168818068006658,4.812242625186627,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,16,1.1840153478819047,19398.907459697126,13.172204054884787,13.369399789255112,15.049135166686028,6.554872882596101,4.985811185910279,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,24,1.1840380933487165,19399.28012142537,19.447679966797295,20.0411819787696,21.746330194408074,12.840249943077652,4.985580620959809,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,32,1.1836703274922475,19393.254645632984,25.522082798506744,26.743453733157367,28.420311997411773,18.898504292181315,4.98676682328005,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,40,1.1886438977330105,19474.741620457644,31.393276981387316,33.444617118220776,35.133645399007946,24.740324889757176,4.990854983399913,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,48,1.1890699108652947,19481.721419616988,37.03887582532843,40.120289344806224,42.92937774420716,30.446677605606965,4.98915206597303,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,56,1.1893736618224473,19486.698075298977,42.46850220407214,46.79052855819464,48.49633922288194,35.872424926528765,4.987891721113556,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
on,64,1.1813216966493238,19354.774677902522,47.805278879997786,53.52744860854,55.35472894599661,41.16642436432085,4.996552558463009,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,8,0.8950451051003249,14664.419001963723,8.867981368071923,8.295501035172492,11.48434250196442,1.052849477790005,5.882814005497494,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,16,0.9610406863972311,15745.690605932234,16.299038556328014,16.559174158144742,18.63610970485024,8.106020320698008,6.175428392925824,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,24,0.9606776017600778,15739.741827237114,24.076440985307272,24.85432857600972,26.916526320157573,15.903056504776032,6.177538570496836,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,32,0.9562997720758002,15668.01546568991,31.596812047671847,33.13190541090444,35.210229417541996,23.429753871088906,6.175630900019314,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,40,0.960582978574156,15738.191520958972,38.84825032815934,41.418090080842376,43.492797465994954,30.654993479194673,6.178008859729744,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,48,0.9604358296299701,15735.78063265743,45.85442966042319,49.7176892273128,51.79355416377075,37.64941021879713,6.179071824546554,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,56,0.9564228283338014,15670.031619421003,52.58183979244495,57.96097150724381,60.072754657361656,44.436897745694296,6.174598491343204,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
off,64,0.9617538797109019,15757.375565183416,58.98899046047154,66.18306428566575,68.26536927232519,50.73851866187397,6.1703477487499185,256.0,4194304.0,256.0,4194304.0,0.0,0.0,0,
