sample_id,configuration,gpu_group,tp,pp,dp,ep_enabled,ep_size,prefill_tokens_per_rank,prefill_tokens_service,concurrency,repetition,successful_requests,failed_requests,input_tokens,output_tokens,output_tokens_per_s,requests_per_s,duration_s,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,runner_gate,resource_status,eligible_for_clean_topology_comparison
node45-tp4-r01,tp4,"4,5,6,7",4,1,1,False,1,8192,8192,32,1,128,0,1048576,131072,718.0942500980555,0.7012639161113823,182.52757208695402,6380.938538811733,20346.804219909238,38.30887965270577,41.958079722408165,38.308879996049804,22.321649445802905,45570.92242352974,61909.34181122574,PASS,accepted_doca_background_only_observed,False
node45-tp4-r02,tp4,"4,5,6,7",4,1,1,False,1,8192,8192,32,2,128,0,1048576,131072,708.1414818374923,0.691544415856926,185.09295580297476,6516.257027668416,20809.96901726466,38.800774151585564,42.751941966852904,38.80077437426596,22.850490754353803,46209.44898474045,63794.2231745168,PASS,cpu_background_changed_during_measurement,False
node45-tp4-r03,tp4,"4,5,6,7",4,1,1,False,1,8192,8192,32,3,128,0,1048576,131072,708.884789050179,0.6922703018068155,184.8988750000135,6512.742585513024,20765.96325412683,38.75916135298181,42.480557961046884,38.75916157391567,22.161295916885138,46163.36464961342,63075.437123057774,PASS,excess_cpu_background_observed,False
node45-tp8-r01,tp8,"0,1,2,3,4,5,6,7",8,1,1,False,1,8192,8192,32,1,128,0,1048576,131072,648.7460076555125,0.6335410231010864,202.03900826099562,8787.340516861605,26649.716849875396,40.730419780793326,46.105506433903344,40.730420008761335,19.674148884951137,50454.559952613185,71050.50995010241,PASS,excess_cpu_background_observed,False
node45-tp8-r02,tp8,"0,1,2,3,4,5,6,7",8,1,1,False,1,8192,8192,32,2,128,0,1048576,131072,650.7907592433968,0.6355378508236297,201.40421193500515,8975.233900015155,26571.677549282314,40.391787459118824,45.79720400000799,40.39178769425655,19.538808564539067,50296.03247069372,71063.06009789695,PASS,excess_cpu_background_observed,False
node45-tp8-r03,tp8,"0,1,2,3,4,5,6,7",8,1,1,False,1,8192,8192,32,3,128,0,1048576,131072,649.6949758804285,0.634467749883231,201.74390270200092,9587.809757747436,26591.184276191045,39.87568918765474,45.90308576571812,39.87568942406824,19.586952141253278,50380.63979671824,71383.82971958781,PASS,excess_cpu_background_observed,False
node45-tp4-dp2-epoff-r01,tp4-dp2-epoff,"0,1,2,3,4,5,6,7",4,1,2,False,1,8192,16384,32,1,128,0,1048576,131072,632.8227384520413,0.6179909555195716,207.1227723589982,11769.201746970339,24802.446550506273,36.44645934320022,42.53153838793076,36.446459578348616,20.53929779212922,49053.92965506417,60162.47224615363,PASS,excess_cpu_background_observed,False
node45-tp4-dp2-epoff-r02,tp4-dp2-epoff,"0,1,2,3,4,5,6,7",4,1,2,False,1,8192,16384,32,2,128,0,1048576,131072,707.3790233532592,0.6907998274934172,185.29246086301282,10451.749669335186,23807.204716387787,35.03348866477027,40.62156416158277,35.033488931922115,20.3497864480596,46291.00857339517,61086.57657637959,PASS,excess_cpu_background_observed,False
node45-tp4-dp2-epoff-r03,tp4-dp2-epoff,"0,1,2,3,4,5,6,7",4,1,2,False,1,8192,16384,32,3,128,0,1048576,131072,710.9398867472332,0.694277233151595,184.36439204402268,11035.843410867074,23860.503079814953,34.23663539617696,40.362923074306444,34.23663562781051,20.764882065122944,46059.921421156105,59170.24265108339,PASS,excess_cpu_background_observed,False
node45-tp4-dp2-epon-r01,tp4-dp2-epon,"0,1,2,3,4,5,6,7",4,1,2,True,8,8192,16384,32,1,128,0,1048576,131072,807.9991762559683,0.7890616955624691,162.2179871610133,6293.657853265813,14918.847554994863,30.211993442792586,33.67593048411758,30.211993688732672,20.872727420646694,37200.52714524263,46824.09277526021,PASS,excess_cpu_background_observed,False
node45-tp4-dp2-epon-r02,tp4-dp2-epon,"0,1,2,3,4,5,6,7",4,1,2,True,8,8192,16384,32,2,128,0,1048576,131072,783.5689549645166,0.7652040575825357,167.27564200898632,6256.1323860009,15311.039718275419,30.873014392610514,33.37303789450631,30.873014630139327,23.334636891377148,37839.22610964146,47177.405035000986,PASS,excess_cpu_background_observed,False
node45-tp4-dp2-epon-r03,tp4-dp2-epon,"0,1,2,3,4,5,6,7",4,1,2,True,8,8192,16384,32,3,128,0,1048576,131072,910.3609166244839,0.8890243326410976,143.9780614550109,6677.088882894168,13991.229438959272,28.622914863157945,31.8500757373595,28.622915088954002,20.641624258132648,35958.33078790474,42902.62789876142,PASS,excess_cpu_background_observed,False
