sample_id,config_label,gpu_group,tp,pp,dp,ep,prefill_budget_tokens,concurrency,repetition,successful_requests,failed_requests,actual_input_tokens,actual_output_tokens,output_tokens_per_s,requests_per_s,duration_s,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
tp4-baseline-01-r01,TP4,"4,5,6,7",4,1,1,off,8192,32,1,128,0,1048576,131072,712.2376569927784,0.6955445869070102,184.02846116479486,6367.778818981606,20316.633060341694,38.68710867022068,42.31231323912656,38.687108939306654,23.500971822068088,45944.69098861737,62802.14368067681
tp4-baseline-01-r02,TP4,"4,5,6,7",4,1,1,off,8192,32,2,128,0,1048576,131072,711.185356663775,0.6945169498669678,184.30075756181031,6362.203806998878,20291.306740348224,38.75764578339876,42.427139547025334,38.75764603814972,23.730708844959736,46011.2754434158,62384.20846576336
tp4-baseline-01-r03,TP4,"4,5,6,7",4,1,1,off,8192,32,3,128,0,1048576,131072,712.5648557567339,0.6958641169499354,183.94395814090967,6217.232562656136,20314.44337947759,38.81229875240687,42.4216059933736,38.81229909509879,23.36025610566139,45922.214186368365,62501.87026828061
tp8-reference-01-r01,TP8,"0,1,2,3,4,5,6,7",8,1,1,off,8192,32,1,128,0,1048576,131072,610.6277283276455,0.5963161409449663,214.65124153299257,10175.715798548481,29495.205513178364,42.45581993773966,48.87245915602995,42.45582052061997,20.15628330409527,53608.01959485616,74290.50462634767
tp8-reference-01-r02,TP8,"0,1,2,3,4,5,6,7",8,1,1,off,8192,32,2,128,0,1048576,131072,609.7727056928973,0.59548115790322,214.9522252739407,9711.946993975289,29462.219377164718,42.981653207301264,48.88033458393136,42.98165379113107,20.50276470836252,53682.17822504448,76511.49570897687
tp8-reference-01-r03,TP8,"0,1,2,3,4,5,6,7",8,1,1,off,8192,32,3,128,0,1048576,131072,608.8627745377041,0.5945925532594767,215.2734663398005,10182.532916718628,29461.95008116773,42.60019342335618,49.114480596636575,42.60019399256295,20.404553017579016,53762.530788812,76667.43893038947
tp4-pp2-screen-01-r01,TP4xPP2,"0,1,2,3,4,5,6,7",4,2,1,off,8192,32,1,128,0,1048576,131072,662.9219995654706,0.6473847652006549,197.71858542319387,4387.622061527509,12199.638246395622,43.9810447241377,46.82968924955929,43.98104535038571,36.70403182040899,49380.230814320385,55742.90497400798
tp4-pp2-repeat-01-r01,TP4xPP2,"0,1,2,3,4,5,6,7",4,2,1,off,8192,32,2,128,0,1048576,131072,673.2626466400211,0.6574830533593956,194.68182388274,4215.602600874263,12165.119240153577,43.40759167343817,46.16423674946959,43.407592285429416,35.81309143919498,48621.56888280151,55340.532527607866
tp4-pp2-repeat-01-r02,TP4xPP2,"0,1,2,3,4,5,6,7",4,2,1,off,8192,32,3,128,0,1048576,131072,663.9291106684101,0.6483682721371192,197.4186669839546,4584.76612135928,12204.398011742156,43.71478711827796,46.45379026370799,43.71478757250967,36.1221861327067,49304.99334335764,55326.145533123046
tp2-pp4-screen-01-r01,TP2xPP4,"0,1,2,3,4,5,6,7",2,4,1,off,8192,32,1,128,0,1048576,131072,1076.7091356419783,1.0514737652753694,121.73389791278169,3644.75414977278,6865.873621357603,26.166445844502203,29.367947009326535,26.166446335536886,25.002569006755945,30413.028248698538,32892.352593899705
tp2-pp4-repeat-01-r01,TP2xPP4,"0,1,2,3,4,5,6,7",2,4,1,off,8192,32,2,128,0,1048576,131072,1108.6972505378167,1.0827121587283366,118.22163348598406,3509.2132686004334,6873.583583929574,25.440876098325052,27.28031227191708,25.44087656552261,22.088392544537783,29535.229517186963,33266.59992109052
tp2-pp4-repeat-01-r02,TP2xPP4,"0,1,2,3,4,5,6,7",2,4,1,off,8192,32,3,128,0,1048576,131072,1113.434018948868,1.087337909129754,117.71869528805837,3489.239280592301,6872.480630432254,25.337049009944906,27.171796007866615,25.337049425915595,22.07486513070762,29409.040417765937,33366.3730134489
tp2-pp4-prefill4096-screen-01-r01,TP2xPP4-prefill4096,"0,1,2,3,4,5,6,7",2,4,1,off,4096,32,1,128,0,1048576,131072,924.6129511352846,0.9029423350930513,141.75877575483173,2329.8902412861935,6578.168917098081,32.33112313133721,36.19785649856263,32.331123756905974,31.38168477453291,35404.62920464415,38709.36151582282
tp2-pp4-prefill16384-screen-01-r01,TP2xPP4-prefill16384,"0,1,2,3,4,5,6,7",2,4,1,off,16384,32,1,128,0,1048576,131072,1089.590546088938,1.0640532676649785,120.29472949309275,5310.8301470238075,7929.637385462411,24.1958980626901,27.37910048551366,24.206250745388544,22.28628071025014,30063.23386515578,30740.19225668162
