sample_id,configuration,gpu_group,tp,pp,dp,ep,prefill_tokens,concurrency,repetition,successful_requests,failed_requests,actual_input_tokens,actual_output_tokens,duration_s,output_tokens_per_s,requests_per_s,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
tp4-baseline-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r01/measurement-02,tp4-baseline,"4,5,6,7",4,1,1,1,8192,32,1,128,0,1048576,131072,182.73880912270397,717.2641686199719,0.7004532896679413,6225.063124238659,20365.375584852874,38.51314523713475,42.18532876794355,38.51314580874905,23.368378658778965,45624.0107018275,62421.632295637384
tp4-baseline-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r02/measurement-01,tp4-baseline,"4,5,6,7",4,1,1,1,8192,32,2,128,0,1048576,131072,182.88678418286145,716.6838248352935,0.6998865476907163,6383.451159650576,20364.92746106814,38.392064472765,42.071082088449934,38.39206506225626,22.707712603732944,45658.533115289174,61859.492051391855
tp4-baseline-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r03/measurement-01,tp4-baseline,"4,5,6,7",4,1,1,1,8192,32,3,128,0,1048576,131072,181.66796781681478,721.4920801677414,0.70458210953881,6382.791858995915,20364.524159207936,38.09636005585068,41.70271721932552,38.09636062751478,22.35296238213777,45355.36819613117,62358.265024377026
tp4-baseline-prefill16384-screen-01/trials/dsv4-8192-1024-c32-n128-repeat1/c0032/r01/measurement-02,tp4-baseline-prefill16384,"4,5,6,7",4,1,1,1,16384,32,1,128,0,1048576,131072,179.0992091409862,731.840194206668,0.7146876896549492,8198.935073494795,20016.134441364557,35.722912246104784,41.2350896224953,35.722912740005754,22.002127044834197,44743.474301259994,57777.770424145274
tp4-baseline-prefill16384-supplement-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r01/measurement-02,tp4-baseline-prefill16384,"4,5,6,7",4,1,1,1,16384,32,2,128,0,1048576,131072,179.8090976770036,728.9508800908868,0.7118660938387567,8208.107795246178,20052.897402481176,35.88782153774188,41.065848473243726,35.887822058787215,22.726518707349896,44921.34922835612,57767.61408539023
tp4-baseline-prefill16384-supplement-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r02/measurement-01,tp4-baseline-prefill16384,"4,5,6,7",4,1,1,1,16384,32,3,128,0,1048576,131072,181.2577462089248,723.1249573682841,0.7061767161799649,8053.918933761452,19987.768333102576,36.38956304155438,42.20837551510036,36.38956348720145,22.755205724388357,45280.44192527159,58736.96121852845
tp4-baseline-prefill4096-screen-01/trials/dsv4-8192-1024-c32-n128-repeat1/c0032/r01/measurement-01,tp4-baseline-prefill4096,"4,5,6,7",4,1,1,1,4096,32,1,128,0,1048576,131072,184.35515149496496,710.9755216337406,0.6943120328454498,5275.603817968658,20659.193227603093,39.77726511829856,42.66605084083286,39.77726531975296,192.42179356515362,45967.74603398808,63808.59753682743
tp4-ep4-screen-01/trials/dsv4-8192-1024-c32-n128-repeat1/c0032/r01/measurement-01,tp4-ep4,"4,5,6,7",4,1,1,4,8192,32,1,128,0,1048576,131072,186.29592266399413,703.5688066904354,0.6870789127836283,6285.3394827470765,20054.95663431938,39.319183523114205,42.96494028317074,39.319184100101914,24.29075068794191,46508.86422689291,63002.16736402362
tp4-ep4-supplement-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r01/measurement-01,tp4-ep4,"4,5,6,7",4,1,1,4,8192,32,2,128,0,1048576,131072,185.47958485316485,706.665372923728,0.6901029032458281,6288.993287918856,20056.862181564786,39.11497886330332,42.815060115361064,39.11497944206557,24.154237378388643,46303.61666507815,62626.69687441084
tp4-ep4-supplement-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r02/measurement-02,tp4-ep4,"4,5,6,7",4,1,1,4,8192,32,3,128,0,1048576,131072,184.88275890005752,708.9465820382628,0.692330646521741,6286.604158274713,20054.91855053696,38.97272317555933,42.56894116072331,38.97272374805557,23.950281157158315,46155.69996687191,62311.94852532353
tp8-baseline-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r01/measurement-01,tp8-baseline,"0,1,2,3,4,5,6,7",8,1,1,1,8192,32,1,128,0,1048576,131072,214.05308037484065,612.3340984884323,0.5979825180551097,9900.279310102633,29349.2646829225,42.57834000570753,48.68691668284461,42.578340598193094,20.258381776511666,53457.92113594143,76584.57862054928
tp8-baseline-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r02/measurement-01,tp8-baseline,"0,1,2,3,4,5,6,7",8,1,1,1,8192,32,2,128,0,1048576,131072,214.29327996680513,611.6477381852737,0.5973122443215564,9701.739685471694,29426.211205450807,42.83020305248205,48.78243497299269,42.83020353069312,20.303764916025102,53517.03740816083,76750.16938496845
tp8-baseline-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r03/measurement-01,tp8-baseline,"0,1,2,3,4,5,6,7",8,1,1,1,8192,32,3,128,0,1048576,131072,214.84957990888506,610.0640273794621,0.595765651737756,9908.488515276986,29373.027383652505,42.76421929608604,48.78971344995733,42.764219853393804,20.586942206136875,53656.284855173,76341.18040080646
tp8-ep8-screen-01/trials/dsv4-8192-1024-c32-n128-repeat1/c0032/r01/measurement-01,tp8-ep8,"0,1,2,3,4,5,6,7",8,1,1,8,8192,32,1,128,0,1048576,131072,206.12051687110215,635.89982205394,0.6209959199745508,8519.493467330904,27221.325629181218,41.98632949363369,47.01005726625263,41.986330095265764,20.94989540055394,51471.508539318165,73446.39702134299
tp8-ep8-supplement-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r01/measurement-02,tp8-ep8,"0,1,2,3,4,5,6,7",8,1,1,8,8192,32,2,128,0,1048576,131072,207.23945483192801,632.4664389138636,0.6176430067518199,8518.840059605282,27211.77089067641,42.25996215237507,47.31930199407864,42.25996273613732,21.11438475549221,51750.78134148498,73967.52669173291
tp8-ep8-supplement-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r02/measurement-01,tp8-ep8,"0,1,2,3,4,5,6,7",8,1,1,8,8192,32,3,128,0,1048576,131072,206.85496864188462,633.6420191429723,0.6187910343193089,8736.766305810306,27185.70306389592,41.95387476122845,47.29364584691692,41.95387531762584,21.084270090796053,51655.58018654701,72746.5066483477
