sample_id,configuration,gpu_group,tp,pp,dp,ep,prefill_budget_tokens,concurrency,repetition,successful_requests,failed_requests,actual_input_tokens,actual_output_tokens,output_tokens_per_s,requests_per_s,duration_s,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
tp4-rear-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r01/measurement-01,tp4-rear-8192,"4,5,6,7",4,1,1,off,8192,32,1,128,0,1048576,131072,716.7336829744137,0.6999352372797009,182.87406203104183,6376.238264241692,4561.031234450638,20333.031388069496,24187.33840509318,38.395862637326616,42.16717035142761,38.39586312027453,23.523664567619562,45655.205742226826,61726.258417125784
tp4-rear-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r02/measurement-01,tp4-rear-8192,"4,5,6,7",4,1,1,off,8192,32,2,128,0,1048576,131072,714.116448561686,0.6973793442985214,183.54429486114532,6390.2765200982685,4557.189523009583,20330.320680141445,24191.571431364868,38.54596123156453,42.346810386675465,38.54596178240004,23.55348856654018,45822.79485998879,62865.17784362658
tp4-rear-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r03/measurement-01,tp4-rear-8192,"4,5,6,7",4,1,1,off,8192,32,3,128,0,1048576,131072,716.3005420306723,0.6995122480768284,182.98464444605634,6377.689630873647,4556.054282933474,20357.385969418094,24217.595502794724,38.421343543490885,42.07607343187966,38.421344111257405,23.310495261102915,45682.724075864826,61795.144016458646
tp4-front-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r01/measurement-01,tp4-front-8192,"0,1,2,3",4,1,1,off,8192,32,1,128,0,1048576,131072,716.4094727825981,0.6996186257642559,182.95682145422325,6377.810959558701,4553.305911598727,20360.882060229775,24216.27821678296,38.416855868986616,42.49436616390499,38.416856086386964,22.865994786843657,45678.25451353201,63160.72318195365
tp4-front-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r02/measurement-01,tp4-front-8192,"0,1,2,3",4,1,1,off,8192,32,2,128,0,1048576,131072,716.7113235276713,0.6999134018824915,182.8797672051005,6373.907824599883,4553.688800428063,20350.028586899858,24209.064494948838,38.40005527235775,41.996794174614664,38.4000555967673,22.714349627494812,45657.16436822186,62500.77126587275
tp4-front-01/trials/dsv4-8192-1024-c32-n128-repeat3/c0032/r03/measurement-02,tp4-front-8192,"0,1,2,3",4,1,1,off,8192,32,3,128,0,1048576,131072,712.5684773515941,0.6958676536636661,183.94302325462922,6213.961369769095,3805.474375607446,20329.14735139347,24183.591408096254,38.81656101673429,42.445368491903395,38.8165612163466,23.27655479311943,45923.30328988828,62111.58712317701
tp2-pp2-rear-screen-01/trials/dsv4-8192-1024-c32-n128-repeat1/c0032/r01/measurement-01,tp2-pp2-rear-8192,"4,5,6,7",2,2,1,off,8192,32,1,128,0,1048576,131072,782.6006297127298,0.7642584274538377,167.48261504480615,4138.056775540463,2797.851267969236,11243.723487854,13264.599684020506,36.84747192660383,41.935082286790205,36.84747254492509,32.043146435171366,41833.02055645618,47516.88179471529
tp2-pp2-rear-confirm-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r01/measurement-01,tp2-pp2-rear-8192,"4,5,6,7",2,2,1,off,8192,32,2,128,0,1048576,131072,758.3795254232139,0.7406050052961073,172.83167016785592,3980.5784711425076,3186.9183720555156,11254.531699372452,13274.808830511758,38.30992680292683,41.57493437036329,38.30992720875528,32.42351922672242,43171.63359053666,47335.985430376604
tp2-pp2-rear-confirm-01/trials/dsv4-8192-1024-c32-n128-repeat2/c0032/r02/measurement-01,tp2-pp2-rear-8192,"4,5,6,7",2,2,1,off,8192,32,3,128,0,1048576,131072,747.7834447083038,0.730257270222953,175.28069246187806,4323.070071488473,3195.864085573703,11251.690044067796,13272.886979244651,38.57209200969463,42.16696620003419,38.57209231688158,32.62035455554724,43782.32019740608,46892.04339692369
tp2-pp2-prefill4096-screen-01/trials/dsv4-8192-1024-c32-n128-repeat1/c0032/r01/measurement-01,tp2-pp2-rear-4096,"4,5,6,7",2,2,1,off,4096,32,1,128,0,1048576,131072,786.5521122927141,0.7681172971608536,166.64121544081718,3163.232052422245,1916.5116094518453,10776.366379926909,12792.73917529732,37.556957721654214,39.619132581682194,37.55695805114557,30.61388060450554,41583.99980167451,51222.83685575239
