engine,repetition,phase,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
vllm,r01,warmup-01-01,36,446.2136365841479,0.4357555044767069,146.87135180737823,524288,65536,11512.7823772782,5531.537633156404,26764.248267072246,39847.380483136476,60.41151956676963,70.07762067095501,60.41151979183356,22.506559337489307,73313.76689408353,88448.7619026564
vllm,r01,warmup-01-02,24,507.05875062689717,0.49517456115907926,129.24735036911443,524288,65536,9265.194464242086,3902.51126838848,24070.122553990215,30265.43887831267,53.99428257544259,76.00757096767086,53.99428280510111,22.55953170824796,64501.34553891985,81104.40383998211
vllm,r01,warmup-01-03,0,699.3938619002647,0.6830018182619773,93.70399651769549,524288,65536,9379.577181651257,5454.748377203941,23401.591514633034,25115.78094417695,36.509023153517035,42.804318992125154,36.50902338613431,22.466007038019598,46728.307867699186,64802.32985783368
vllm,r01,warmup-01-04,0,706.6341953399861,0.6900724563867052,92.74388422211632,524288,65536,8666.204284534615,3902.384854387492,23257.33051234856,24971.992818098515,36.737455616760364,42.44672368878712,36.73745585178162,22.38137419335544,46248.62138048047,66025.65445189828
vllm,r02,warmup-01-01,0,707.4753794098298,0.6908939252049119,92.63361228862777,524288,65536,8783.325009258988,3903.846239671111,23590.625404729504,25302.91650272906,36.57155027654722,42.3338207939707,36.571550497578436,21.9719402724877,46196.0209421668,66077.98488240223
vllm,r02,warmup-01-02,0,697.4113947280317,0.6810658151640935,93.97036024276167,524288,65536,9044.188172709255,4689.201223663986,23338.15694423392,25054.135923804715,36.96754804101362,42.941673880216285,36.96754827973331,22.843978786841035,46861.98981866619,65967.84290513022
vllm,r03,warmup-01-01,0,712.9267817827795,0.6962175603347456,91.92528836708516,524288,65536,8770.086723459826,3893.973380792886,23549.322416936044,25265.997584038414,36.241503430977716,41.91665920967879,36.241503669320444,21.58916576299816,45845.144733350025,65518.39740294963
vllm,r03,warmup-01-02,0,706.3783441215961,0.6898226016812462,92.77747618593276,524288,65536,9021.82228222955,4676.611109171063,23308.65013930015,25018.770399815403,36.407706865595365,42.577187747390475,36.40770709159813,22.62338143773377,46266.90640573361,65582.67906717956
sglang,r01,warmup-01-01,0,443.4918436679363,0.433097503581969,147.77272893674672,524288,65536,23365.756817125657,14602.46960283257,55460.19131711218,60657.04933905041,49.22956548495089,60.794476239499566,49.22956572130927,25.11148287449032,73727.60230823042,116386.13207133021
sglang,r01,warmup-01-02,0,571.4988882615603,0.55810438306793,114.67388886678964,524288,65536,10966.306908587285,4027.273047948256,30306.285027158443,32660.792693817057,45.176370981610425,52.52197390287488,45.17637134106976,24.849425349384546,57181.73442277475,83987.81820798757
sglang,r01,warmup-01-03,0,563.9905387844265,0.5507720105316665,116.2005308480002,524288,65536,10960.698576447612,4026.1695738881826,30281.154017918736,32636.292428364974,45.92539350629675,53.29471155962399,45.92539373485997,25.625644251704216,57942.37613338919,84756.51134594808
sglang,r02,warmup-01-01,0,570.2657466814902,0.5569001432436428,114.92185946879908,524288,65536,10905.224989342969,4010.3481700643897,30111.79579456802,32451.78119971417,45.35687859961604,52.512547744844085,45.3568788286629,24.90687337704003,57305.311796750175,83780.08838214446
sglang,r02,warmup-01-02,0,569.5638224233049,0.5562146703352587,115.06348791811615,524288,65536,10900.157403506455,4008.196755312383,30114.940363191996,32453.378675039858,45.43175157664403,52.836053543915305,45.43175181779615,25.372871570289135,57376.8392664133,84157.85941118373
sglang,r03,warmup-01-01,0,568.4119729822673,0.5550898173654955,115.29665650101379,524288,65536,10936.819729839044,4035.9602915123105,30213.783643301573,32567.810936323367,45.50929317557932,52.63980991063222,45.509293403993176,25.30181419569999,57492.826648456685,83663.9411291806
sglang,r03,warmup-01-02,0,571.2698645971293,0.5578807271456341,114.71986194513738,524288,65536,10937.30399726337,4014.479607809335,30206.295001041137,32552.06638130825,45.226087142989726,52.49382538451491,45.226087374739286,24.845076841302216,57203.59114454186,83856.22649900614
