group,attempt,deployment_status,eligible,concurrency,round,status,completed,failed,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,good_requests,joint_pass_rate,request_goodput,remote_hits,d_prefill_computed,draft_tokens,accepted_tokens,acceptance_rate,nixl_bytes,mooncake_bytes
G1M,G1M-01,COMPLETE,True,128,1,COMPLETE,512,0,0,2629.7213735718788,2.568087278878788,199.37017102609389,8388608,524288,8764.438236002206,5027.351447031833,32090.216186130412,37630.78221893869,36.47559036497075,43.47096343199519,123.91386081003155,187.4554567155428,46078.96717936728,71574.2122561438,397,0.775390625,1.9912708002243726,8388608.0,0.0,773460.0,370463.0,0.47896853101647147,0,81751965696
G1M,G1M-01,COMPLETE,True,128,2,COMPLETE,512,0,0,2665.9156858353217,2.6034332869485564,196.66338391182944,8388608,524288,8924.098629703622,5178.21313906461,32073.69489236734,37578.52698962437,36.09726821558422,42.90652893088077,123.58974662134048,192.20995204523206,45851.60401424627,70524.53628015937,401,0.783203125,2.039017086067131,8388608.0,0.0,767465.0,371626.0,0.48422533926628575,0,81751965696
G1M,G1M-01,COMPLETE,True,128,3,COMPLETE,512,0,0,2634.239780112903,2.572499785266507,199.0281993150711,8388608,524288,8715.516221925554,4951.606492977589,32014.16393781546,37627.8399340203,36.73087027624394,43.94528854394582,124.8223796642772,193.77219141460955,46291.19651452311,71846.43295082496,401,0.783203125,2.014789870882557,8388608.0,0.0,773205.0,370456.0,0.47911743974754434,0,81751965696
G2,G2-02,COMPLETE,True,128,1,COMPLETE,512,0,0,3102.3011991772387,3.029591014821522,168.99970903503709,8388608,524288,10501.197649354253,7423.38039947208,31203.770803543735,36627.62760043843,28.079037125445954,34.31493223556941,94.9986819808422,228.06711592711508,39226.052628685466,60873.04387715412,391,0.763671875,2.313613450771905,8388608.0,0.0,776630.0,369856.0,0.47623192511234436,88261263360.0,
G2,G2-02,COMPLETE,True,128,2,COMPLETE,512,0,0,3070.2847653031477,2.998324966116355,170.76201071799733,8388608,524288,10222.387552847977,7115.988002624363,31288.25986542506,36813.00601122667,28.524652159849694,34.97766324679457,96.82716519798501,231.29609879106283,39403.10671237421,62888.769053190474,400,0.78125,2.3424413797784025,8388608.0,0.0,774065.0,370299.0,0.47838230639545776,88261263360.0,
G2,G2-02,COMPLETE,True,128,3,COMPLETE,512,0,0,3102.9963514992296,3.0302698745109664,168.96184868109412,8388608,524288,10038.055819137753,6981.042560073547,31237.760587991215,36773.865072866894,28.568708571156815,34.117697629684315,96.74723181500096,228.93833240959702,39263.84468743118,62718.26954557327,410,0.80078125,2.426583297948235,8388608.0,0.0,775895.0,369910.0,0.47675265338737843,88261263360.0,
G3M,G3M-01,COMPLETE,True,128,1,COMPLETE,512,0,0,3054.334311345469,2.9827483509233095,171.65377020207234,8388608,524288,9788.580351444125,6287.110010045581,32148.901715257663,37894.89763521356,29.833822254740372,35.49970909963359,101.3960086126577,190.92767592519522,40308.58051804353,63788.027673447505,402,0.78515625,2.3419235099046296,8388608.0,0.0,773115.0,370511.0,0.47924435562626516,0,81751965696
G3M,G3M-01,COMPLETE,True,128,2,COMPLETE,512,0,0,3073.1490382010443,3.0011221076182073,170.60285507887602,8388608,524288,10124.646263953764,6525.320464512333,32037.993995938443,37551.15755567793,28.92741307479849,35.06371517225741,98.71574544564584,183.92809247598052,39717.38983947261,61393.671320867725,399,0.779296875,2.338765079960283,8388608.0,0.0,769990.0,371129.0,0.48199197392173926,0,81751965696
G3M,G3M-01,COMPLETE,True,128,3,COMPLETE,512,0,0,3063.6892866659387,2.9918840690097057,171.12962541007437,8388608,524288,9990.688612601389,6370.311306440271,32078.955379931715,37646.492945272475,29.368498208170294,35.43985769685671,100.33143563254743,195.29253905639052,40034.6622795596,63541.94102274487,397,0.775390625,2.319878858196979,8388608.0,0.0,769145.0,371280.0,0.4827178230372687,0,81751965696
G4DP,G4DP-01,FAILED_WITH_EVIDENCE,False,32,1,COMPLETE,128,0,0,1594.353327438276,0.7784928356632207,164.42026713187806,3145728,262144,5389.044720421225,4013.3300714660436,13665.710591489911,15922.233591650147,15.915831880314594,20.00419510088603,55.53088258722448,55.47875910997391,37968.7525794252,46671.744295198,111,0.8671875,0.6750992559266992,3145728.0,0.0,376125.0,187188.0,0.49767497507477565,30275665920.0,
