case,case_status,C,R,success,failed,raw_date,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
vllm-autotune-off,PASS,16,1,64,0,20260915-144453,177.95324301685366,0.17378246388364615,368.2765140379779,524288,65536,15761.395458823245,12284.973472356796,42572.120840125695,49190.38230325095,74.53232440591638,86.33010371318242,74.53232465709695,43.52800417691469,92007.9633260757,119188.32017180974
vllm-autotune-off,PASS,16,2,64,0,20260915-145843,178.84067274133085,0.1746490944739559,366.44908004114404,524288,65536,15760.391771458671,12287.066713441163,42547.02665354124,49171.88844323624,74.08588548533965,85.82450189185717,74.08588573673359,43.050291016697884,91550.25262296112,118490.80142548772
vllm-autotune-off,PASS,16,3,64,0,20260915-151241,177.67897268474908,0.17351462176245028,368.84499617340043,524288,65536,15864.867395328474,12285.498668905348,42609.93010881355,49235.06251847837,74.56949528345329,85.0412311392016,74.56949552909332,44.255157676525414,92149.46107030119,118916.20386200956
vllm-autotune-off,PASS,32,1,128,0,20260915-153514,209.86129958561435,0.2049426753765765,624.5648924256675,1048576,131072,22064.20290715687,12233.52419002913,81595.62973508143,97103.93433755265,130.9152294373413,145.50129936947482,130.91522965414066,61.78051515016705,155990.48262155702,226256.2601254787
vllm-autotune-off,PASS,32,2,128,0,20260915-155738,210.50160732481058,0.20556797590313533,622.6650792160071,1048576,131072,22289.93027231627,12263.924571918324,81857.85918226463,97405.94817028382,130.23312186596064,143.86820116306572,130.23312209984036,61.3408544100821,155518.413941194,226426.72279125542
vllm-autotune-off,PASS,32,3,128,0,20260915-162003,209.4354969828066,0.20452685252227207,625.8346932027489,1048576,131072,22578.566943284386,12247.24147748202,81503.24395825154,96971.42477179413,130.71926944956596,146.59725608306871,130.71926968548695,61.942751402966664,156304.37959019036,222896.78206616078
sglang-autotune-off,PASS,16,1,64,0,20260915-163828,192.12955889224523,0.18762652235570823,341.1031617303379,524288,65536,15245.221978824702,11058.993070852011,40010.7054023072,44274.34847268276,68.39777586192695,76.68056565647323,68.39777609955843,41.98550453875214,85216.14668557595,114713.00731522495
sglang-autotune-off,PASS,16,2,64,0,20260915-165132,190.95948055418032,0.18648386772869172,343.1932251271792,524288,65536,15262.915101950057,11075.089470017701,39975.52969634997,44234.8384150723,68.89140146572478,76.97444487547908,68.89140170034064,42.155695939436555,85738.81880138651,114892.81491830478
sglang-autotune-off,PASS,16,3,64,0,20260915-170443,188.50185400461584,0.18408384180138265,347.667668024078,524288,65536,14439.188555654255,11048.503877595067,40063.941846019574,44334.47742455173,70.78762405797289,79.25592978757588,70.78762430373384,43.23851908557117,86854.92796696053,116865.92533756046
sglang-autotune-off,PASS,32,1,128,0,20260915-172555,226.10457644684675,0.22080525043637378,579.6963602406904,1048576,131072,20977.218880463624,11075.256902491674,75513.46838132011,87570.11028418783,120.99747372210332,133.2684875196001,120.99747395295672,59.03464443981647,144757.63449817532,210188.46444669177
sglang-autotune-off,PASS,32,2,128,0,20260915-174707,224.6458745789446,0.2193807368935006,583.4605253520422,1048576,131072,21623.609902355383,13780.580457532778,75576.72385515177,87650.04152070732,121.2885609486556,134.14068271593533,121.28856134645062,59.78905512019991,145701.80775283006,210604.56415226214
sglang-autotune-off,PASS,32,3,128,0,20260915-180826,224.85819446725145,0.21958808053442525,582.9095991388895,1048576,131072,20315.094916491944,11060.310940956697,75546.86918908263,87590.37574085873,122.42330773602689,135.51931432596265,122.42330806463274,60.09615738876164,145554.13873044745,212316.6695057647
sglang-autotune-on,PASS,16,1,64,0,20260916-032236,200.24912798265112,0.19555578904555773,327.27233651513234,524288,65536,15888.075081304123,13781.077049905434,40161.191389081054,44428.135801581666,64.3928231675037,72.48931785092716,64.39282340279524,38.691654708236456,81761.93318166042,110065.92272038104
sglang-autotune-on,PASS,16,2,64,0,20260916-033512,200.73280994833658,0.19602813471517244,326.4837473100051,524288,65536,16445.43454566883,13805.561667773873,40160.84145891944,44420.64794199541,63.65629072481574,72.40885864380648,63.65629096592518,37.715113162994385,81565.81995715533,110660.97927582449
sglang-autotune-on,PASS,16,3,64,0,20260916-034749,199.62533420049795,0.19494661543017378,328.2950045517646,524288,65536,15888.002116385906,13779.643594520167,40078.334215329945,44329.390710722655,64.64435659799292,72.60665226302575,64.64435682839114,38.314699730835855,82019.17891613266,109969.34471228159
sglang-autotune-on,PASS,32,1,128,0,20260916-040826,231.65752704783543,0.2262280537576518,565.8007390061393,1048576,131072,20912.941268448776,11119.22108498402,75424.48343154971,87438.32730173599,117.6744889531141,130.26542753825112,117.6744891914106,55.17967015039176,141293.9434674845,205896.48362423756
sglang-autotune-on,PASS,32,2,128,0,20260916-042906,230.90323036609274,0.22549143590438744,567.6490527749993,1048576,131072,20238.98823480704,11051.902097417042,75407.75423704178,87406.82922910435,118.78038093580173,131.1903811820973,118.78038115629953,55.80347175709903,141751.31793213222,206252.00310535726
sglang-autotune-on,PASS,32,3,128,0,20260916-044945,231.76322424157385,0.22633127367341196,565.5427017332986,1048576,131072,21593.978274944675,13769.273864803836,75411.38700887094,87462.28384891526,116.95204872314885,129.7876627181492,116.95204896081236,55.33936477731913,141235.92411872596,205985.17523920164
